1 | Allow | İzn ver
2 | Search Engine Visibility | Aaxtarış sisteminin görünüşü
3 | Front Page Displays | Ön səhifənin görünüşü
4 | Site Language | Saytın dili
5 | Site Title | Sayt başlığı
6 | Email Address | E-poçt ünvanı
7 | Credits | Əmək sərf edənlər
8 | What&#8217;s New | Nələr yenidir
9 | Did You Know? | Bilirdinizmi?
10 | Get Started | Başlanğıc
11 | Project Leaders | Layihənin rəhbərləri
12 | Notice:  | Bildiriş:
13 | Default  | Mövcud
14 | Blog | bloq
15 | Activity | Aktivlik
16 | Revisions | Versiyalar
17 | Post | Yazı
18 | Performance | Performans
19 | Performance | Performans
20 | Allow | İzn ver
21 | Search Engine Visibility | Aaxtarış sisteminin görünüşü
22 | Front Page Displays | Ön səhifənin görünüşü
23 | Site Language | Saytın dili
24 | Site Title | Sayt başlığı
25 | Email Address | E-poçt ünvanı
26 | Credits | Əmək sərf edənlər
27 | What&#8217;s New | Nələr yenidir
28 | Did You Know? | Bilirdinizmi?
29 | Get Started | Başlanğıc
30 | Project Leaders | Layihənin rəhbərləri
31 | Notice:  | Bildiriş:
32 | Default  | Mövcud
33 | Blog | bloq
34 | Activity | Aktivlik
35 | Revisions | Versiyalar
36 | Post | Yazı
37 | Performance | Performans
38 | Performance | Performans
