1 | Preview:  | प्रदर्शन करणे:
2 | Restore | रिस्टोर
3 | Dismiss | घालवा
4 | WordPress User | वर्डप्रेस वापरकर्ता
5 | Standard | स्टँडर्ड
6 | Save Changes | बदल जतन करा
7 | Off | बंद 
8 | On | on
9 | Value | मूल्य
10 | medium | मध्यम
11 | Display Settings | सेटिंग दाखवा.
12 | Network | नेटवर्क
13 | View | पहा
14 | Status | स्थिती
15 | Copy | कॉपी
16 | Save changes | बदल जतन करा
17 | June | जून
18 | Saturday | शनिवार
19 | Friday | शुक्रवार
20 | Wednesday | बुधवार
21 | Tuesday | मंगळवार
22 | Monday | सोमवार
23 | Sunday | रविवार
24 | on | on
25 | Minute | मिनिट
26 | Hour | तास
27 | Type | टाईप
28 | advanced | प्रगत
29 | General | सामान्य
30 | OK | ठीक
31 | Untitled | अशीर्षकांकित
32 | An error has occurred, which probably means the feed is down. Try again later. | एक त्रुटी आली आहे, याचा अर्थ कदाचित पुरवठा डाऊन आहे. पुन्हा प्रयत्न करा.
33 | <strong>RSS Error</strong>: %s | <strong>आरएसएस त्रुटी</strong>: %s
34 | %1$s at %2$s | %1$s येथे %2$s
35 | Size | आकार
36 | File | फाईल
37 | Time | वेळ
38 | Delete | खोडून टाकणे
39 | Features | वैशिष्ट्ये
40 | Plugins | प्लगिन्स
41 | Posts | टिप्पणी
42 | All content | सर्व सामग्री
43 | Exclude: | वगळा:
44 | all | सर्व
45 | ERROR: | चूक:
46 | WARNING: | चेतावणी:
47 | For more information: | अधिक माहितीसाठी:
48 | Password: | पासवर्ड
49 | none | काहीही नाही
50 | MB | एमबी
51 | Email address | ई-मेल अॅड्रेस
52 | Unknown | अज्ञात
53 | Add new | नवीन लिंक
54 | version %s | आवृत्ती %s
55 | About | विषयी
56 | Settings | सेटिंग्स
57 | Dashboard | डॅशबोर्ड
58 | Documentation | डोक्युमेंटशन
59 | FTP | एफटिपि
60 | Folder | फोल्डर
61 | Dashboard | डॅशबोर्ड
62 | Preview:  | प्रदर्शन करणे:
63 | Restore | रिस्टोर
64 | Dismiss | घालवा
65 | Standard | स्टँडर्ड
66 | WordPress User | वर्डप्रेस वापरकर्ता
67 | Save Changes | बदल जतन करा
68 | Off | बंद 
69 | On | on
70 | Value | मूल्य
71 | medium | मध्यम
72 | Display Settings | सेटिंग दाखवा.
73 | Network | नेटवर्क
74 | View | पहा
75 | Status | स्थिती
76 | Copy | कॉपी
77 | Save changes | बदल जतन करा
78 | June | जून
79 | Saturday | शनिवार
80 | Friday | शुक्रवार
81 | Wednesday | बुधवार
82 | Tuesday | मंगळवार
83 | Monday | सोमवार
84 | Sunday | रविवार
85 | on | on
86 | Minute | मिनिट
87 | Hour | तास
88 | Type | टाईप
89 | advanced | प्रगत
90 | General | सामान्य
91 | OK | ठीक
92 | Untitled | अशीर्षकांकित
93 | An error has occurred, which probably means the feed is down. Try again later. | एक त्रुटी आली आहे, याचा अर्थ कदाचित पुरवठा डाऊन आहे. पुन्हा प्रयत्न करा.
94 | <strong>RSS Error</strong>: %s | <strong>आरएसएस त्रुटी</strong>: %s
95 | %1$s at %2$s | %1$s येथे %2$s
96 | Size | आकार
97 | File | फाईल
98 | Time | वेळ
99 | Delete | खोडून टाकणे
100 | Features | वैशिष्ट्ये
101 | Plugins | प्लगिन्स
102 | Posts | टिप्पणी
103 | All content | सर्व सामग्री
104 | Exclude: | वगळा:
105 | all | सर्व
106 | ERROR: | चूक:
107 | WARNING: | चेतावणी:
108 | For more information: | अधिक माहितीसाठी:
109 | Password: | पासवर्ड
110 | none | काहीही नाही
111 | MB | एमबी
112 | Email address | ई-मेल अॅड्रेस
113 | Unknown | अज्ञात
114 | Add new | नवीन लिंक
115 | version %s | आवृत्ती %s
116 | About | विषयी
117 | Settings | सेटिंग्स
118 | Dashboard | डॅशबोर्ड
119 | Documentation | डोक्युमेंटशन
120 | FTP | एफटिपि
121 | Folder | फोल्डर
122 | Dashboard | डॅशबोर्ड
