
buddypress | Post | लेख
buddypress | Spam | स्पॅम
buddypress | Delete | खोडून टाकणे
buddypress | Reply | उत्तर
buddypress | Spam | स्पॅम
buddypress | Delete | खोडून टाकणे
buddypress | Comment | टिपणी
buddypress | Comment | टिपणी
buddypress | Change | बदला
buddypress | Activate | सक्रिय करा
buddypress | Close | बंद
buddypress | Apply | लागू करा
buddypress | Search | शोधा
buddypress | Search | शोधा
buddypress | Comment | टिपणी
buddypress | Cancel | रद्द करा
buddypress | Save | जतन करा
buddypress | Crop Image | इमेज क्रॉप करा
buddypress | Year | वर्ष
buddypress | Month | महिना 
buddypress | Day | दिवस
buddypress | Four columns | चार स्तंभ
buddypress | Three columns | तीन स्तंभ
buddypress | Two columns | दोन स्तंभ
buddypress | One column | एक स्तंभ
buddypress | All Sites | सर्व साइटस्
buddypress | Select bulk action | निवडा क्रिया मोठ्या प्रमाणात 
buddypress | Content | मजकूर
buddypress | Subject | विषय
buddypress | Release Lead | प्रकाशन लीड
buddypress | [deleted] | [हटवलेले]
buddypress | Filter users list | फिल्टर केलेल्या वापरकर्त्यांना यादी
buddypress | Email | ईमेल
buddypress | Add New | नवीन लिंक
buddypress | Background color | पार्श्वभूमीचा रंग
buddypress | Text color | मजकूर रंग
buddypress | Select %s | निवडा %s
buddypress | Activity | अॅक्टिवेटी
buddypress | Submitted on: %s | %s : वर सबमिट
buddypress | Search Results | शोध परिणाम
buddypress | Leave a reply | प्रतिक्रिया व्यक्त करा
buddypress | Search for: | शोध घ्या यांचा:
buddypress | Links | लिंक्स
buddypress | Your comment is awaiting moderation. | आपली टिप्पणी मंजुरीची प्रतीक्षा करत आहे.
buddypress | Edit comment | टिप्पणी संपादित करा
buddypress | Pages:  | पृष्ठे:
buddypress | Type | टाईप
buddypress | Description | वर्णन
buddypress | Submit | सबमिट
buddypress | Descending | उतरत्या क्रमाने
buddypress | Ascending | चढत्या क्रमाने
buddypress | Custom | सानुकूल
buddypress | Sort Order: | क्रमाची क्रमवारी लावा:
buddypress | URL | URL
buddypress | Clear | स्पष्ट
buddypress | Profile | प्रोफाईल
buddypress | Edit | संपादन
buddypress | View | पहा
buddypress | Profile | प्रोफाईल
buddypress | Edit | संपादन
buddypress | View | पहा
buddypress | Profile | प्रोफाईल
buddypress | comments | टिप्पण्या
buddypress | Password Lost and Found | पासवर्ड हरवले आणि सापडले
buddypress | To: | च्यापर्यत:
buddypress | From: | पासून:
buddypress | Select all | सर्व निवडा
buddypress | Change | बदला
buddypress | Confirm Password | संकेतशब्द कन्फर्म करा
buddypress | Email Address | ई-मेल अॅड्रेस
buddypress | (required) | (आवश्यक)
buddypress | Finish | समाप्त
buddypress | Content: | सामग्री:
buddypress | RSS | आरएसएस
buddypress | Capabilities | क्षमता
buddypress | %s was successfully deleted. | %s यशस्वीरीत्या हटविले गेले
buddypress | Select Bulk Action | निवडा क्रिया मोठ्या प्रमाणात 
buddypress | Delete Selected | निवडलेले हटवा
buddypress | All | सर्व
buddypress | View | पहा
buddypress | Profile | प्रोफाईल
buddypress | That username is already activated. | हा वापरकर्ता आधीच सक्रिय आहे.
buddypress | Could not create user | वापरकर्ता बनवू नाही शकत.
buddypress | The site is already active. | साइट आधीपासूनच सक्रिय आहे.
buddypress | The user is already active. | वापरकर्ता आधीपासूनच सक्रिय आहे.
buddypress | Invalid activation key. | अवैध सक्रियन कळ
buddypress | Sorry, that username already exists! | क्षमस्व, हा वापरकर्ता अस्थित्वात नाही.
buddypress | Sorry, usernames must have letters too! | क्षमस्व , वापरकर्ता नावामध्ये अक्षरे पण असणे आवश्यक आहे!
buddypress | Sorry, that email address is already used! | क्षमस्व, हा इमेल अड्रेस आधी वापरला आहे
buddypress | Sorry, that email address is not allowed! | माफ करा, हा ई-मेल पत्ता वापरण्याची अनुमती नाही!
buddypress | <strong>ERROR</strong>: Your account has been marked as a spammer. | <strong>त्रुटी</strong>: आपले खाते स्पॅमर म्हणून चिन्हांकित केले आहे.
buddypress | Edit My Profile | माझे प्रोफाइल संपादित करा
buddypress | Confirm | खा‍त्री करा 
buddypress | Update Profile | प्रोफाइल सुधारणा करा
buddypress | Add New | नवीन लिंक
buddypress | &larr; Back to Users | &larr; वापरकर्तेकडे परत
buddypress | Edit User | वापरकरर्ता संपादित करा
buddypress | Profile updated. | प्रोफाइल अपडेट केले.
buddypress | Email | ईमेल
buddypress | Activate | सक्रिय करा
buddypress | Details | तपशील
buddypress | Settings | सेटिंग्स
buddypress | Details | तपशील
buddypress | Description | वर्णन
buddypress | Name | नाव
buddypress | %1$s (%2$s) | %1$s (%2$s)
buddypress | Actions | क्रिया
buddypress | Name | नाव
buddypress | Privacy | गोपनीयता
buddypress | Permalink: | परमालिंक:
buddypress | Settings | सेटिंग्स
buddypress | Save | जतन करा
buddypress | Support Forums | सपोर्ट फोरम
buddypress | Popular | लोकप्रिय
buddypress | Active | सक्रिय
buddypress | Site URL | साइट युआरअल
buddypress | Tags:  | टॅग्स:
buddypress | Log in | लॉग ईन
buddypress | Remove | काढा
buddypress | Administrator | प्रशासन
buddypress | &raquo; | &raquo;
buddypress | &laquo; | &laquo;
buddypress | Bulk Actions | मोठ्या प्रमाणात क्रिया
buddypress | Deactivate | निष्क्रिय
buddypress | General Settings | सामान्य सेटिंग्ज
buddypress | Date format | तारीख स्वरूप
buddypress | Save Changes | बदल जतन करा
buddypress | Registered | नोंदणी झाली
buddypress | Repeat New Password | नवीन पासवर्ड पुन्हा द्या
buddypress | New Password | नवीन पासवर्ड
buddypress | General | सामान्य
buddypress | Page not found | पृष्ठ सापडले नाही
buddypress | Visit | भेट
buddypress | Manage Comments | टिप्पण्या व्यवस्थापित करा
buddypress | File upload stopped by extension. | विस्ताराणे फाइल अपलोड थांबविले.
buddypress | Failed to write file to disk. | डिस्कवर फाइल राइट करण्यास अयशस्वी.
buddypress | Missing a temporary folder. | तात्पुरता फोल्डर गहाळ.
buddypress | No file was uploaded. | कोणतीही फाइल अपलोड केलेली नाही 
buddypress | The uploaded file was only partially uploaded. | अपलोड केलेल्या फाईलमध्ये फक्त अंशतः अपलोड केली होती.
buddypress | Remember Me | माझी आठवण ठेवा
buddypress | Posts | टिप्पणी
buddypress | %1$s at %2$s | %1$s येथे %2$s
buddypress | Log In | लॉग ईन
buddypress | %s week | %s आठवडा
buddypress | %s month | %s महिना
buddypress | %s year | %s वर्ष
buddypress | %s ago | %s पूर्वी
buddypress | right now | ताबडतोब
buddypress | Register | नोंदणी
buddypress | Activate | सक्रिय करा
buddypress | Sites | साईटस्
buddypress | Activity | अॅक्टिवेटी
