1 | Poster | पोस्टर
2 | All Content | सर्व सामग्री
3 | Logo | लोगो 
4 | URL | URL
5 | Source | स्रोत
6 | Copy | कॉपी
7 | Something went wrong. | काहीतरी चूक झाली.
8 | Max Width | कमाल रुंदी
9 | Position | स्थान
10 | Delete %s | %s हटवा
11 | Inline | Inline
12 | All | सर्व
13 | Category | कॅटेगरी
14 | More actions | आणखी कृत्या 
15 | Pages | पृष्ठ
16 | Blocks | ब्लॉक्स
17 | Featured Image | वैशिष्ट्यीकृत इमेज
18 | Save Draft | मसुदा जतन करा
19 | Restore | रिस्टोर
20 | Dismiss | घालवा
21 | Submit | सबमिट
22 | Update | अपडेट
23 | Published | प्रकाशित
24 | Select File | फाईल निवडा
25 | or | किंवा
26 | Search | शोधा
27 | Popular | लोकप्रिय
28 | New | नवीन
29 | Remove | काढा
30 | Publish | प्रकाशित
31 | Preview Changes | पूर्वावलोकन बदल
32 | Blog | ब्लॉग
33 | (opens in a new window) | (नवीन विंडोमधे उघडते)
34 | Excerpt | उतारा
35 | Actions | क्रिया
36 | Revisions | आवृत्या
37 | Documentation | डोक्युमेंटशन
38 | Mute | नि: शब्द
39 | Global Settings | जागतिक सेटिंग
40 | Edit %s | संपादित करा %s
41 | Link Options | लिंक पर्याय
42 | Position | स्थान
43 | Enable | सक्षम
44 | Disable | अक्षम
45 | Status | स्थिती
46 | Select | निवडा
47 | Template | टेमप्लेट 
48 | Maintenance | मेन्टेनन्स
49 | Type | टाईप
50 | Revision | पुनरावृत्ती
51 | Default | मुलभूत
52 | Custom CSS | फेरफार करण्यासाठीची सीएसएस (CSS)
53 | Off | बंद 
54 | On | on
55 | (no title) | (शीर्षक नाही)
56 | Type | टाईप
57 | Template | टेमप्लेट 
58 | Tools | टूल्स
59 | Page | पृष्ठ
60 | Export | निर्यात
61 | Insert | समाविष्ट करा
62 | Library | ग्रंथालय
63 | Close | बंद
64 | Aside | बाजूला
65 | Username | वापरकर्त्याचे नाव
66 | Comments | टिप्पण्या
67 | Update Now | आत्ता अद्यायावत करा
68 | Custom URL | Custom URL
69 | Paste | पेस्ट
70 | Background | पार्श्वभाग
71 | General | सामान्य
72 | Loop | लूप
73 | Video | व्हिडिओ
74 | Insert Media | मीडिया घाला
75 | Custom | सानुकूल
76 | No Images Selected | कोणत्याही इमेज निवडल्या नाही
