1 | Slug | स्लग
2 | Count | मोजा
3 | Success! | यशस्वी!
4 | Profile Picture | परिचय चित्र
5 | General | सामान्य
6 | Select Files | फाईल्स निवडा
7 | Media | मीडिया
8 | Confirm Password | संकेतशब्द कन्फर्म करा
9 | Select | निवडा
10 | Text | मजकूर
11 | City: | शहर:
12 | Name:  | नाव:
13 | Current Page | सध्याचे पेज
14 | Source | स्रोत
15 | Column | रकाना
16 | Size | आकार
17 | Show | दाखवा 
18 | Pending | प्रलंबित
19 | Published | प्रकाशित
20 | Hide | लपवा
21 | Image | इमेज
22 | Choose image | प्रतिमा निवडा
23 | Welcome | आपले स्वागत आहे
24 | Reset Password | पासवर्ड रीसेट करा
25 | Profile | प्रोफाईल
26 | Video | व्हिडिओ
27 | Print | प्रिंट
28 | Contact | संपर्क
29 | All Types | सर्व प्रकार
30 | Details | तपशील
31 | View All | सर्व पहा
32 | Overview | आढावा
33 | Email: | ईमेल:
34 | or | किंवा
35 | Disable | अक्षम
36 | Enable | सक्षम
37 | Go to Dashboard | डॅशबोर्ड वर जा
38 | Search | शोधा
39 | From: | पासून:
40 | Email:  | ईमेल:
41 | To: | च्यापर्यत:
42 | Save | जतन करा
43 | Close | बंद
44 | Next | पुढे
45 | Previous | मागील
46 | Log in | लॉग ईन
47 | Register | नोंदणी
48 | New Password  | नवीन पासवर्ड
49 | Update Profile | प्रोफाइल सुधारणा करा
50 | Last Name | शेवटचे नाव
51 | First Name | पहिले नाव
52 | Get new password | नवीन पासवर्ड मिळवा
53 | Lost password | हरवलेलं पासवर्ड
54 | Remember me | माझी आठवण ठेवा
55 | Password | पासवर्ड
56 | Username | वापरकर्त्याचे नाव
57 | year | वर्ष
58 | month | महिना 
59 | day | दिवस
60 | Youtube | युटयूब
61 | Instagram | इन्स्टाग्राम
62 | LinkedIn | लिंक्डइन
63 | Possible reason: your host may have disabled the mail() function. | शक्यता - तुमच्या होस्टने mail() फंक्शन अकार्यान्वित केले असेल
64 | The email could not be sent. | ई-मेल पोहचू शकला नाही.
65 | [%s] Password Reset | [%s] पासवर्ड बदल
66 | To reset your password, visit the following address: | आपला पासवर्ड रीसेट करण्यासाठी, खालील पत्त्यावर भेट द्या:
67 | If this was a mistake, just ignore this email and nothing will happen. | जर चूक झाली असेल तर या इमेल कडे दुर्लक्षित करा किवा काहीच झाले नाही असे समजा
68 | Username: %s | वापरकर्ता चे नाव %s
69 | Someone has requested a password reset for the following account: | कोणीतरी खालील खात्या साठी पासवर्ड रिसेट करण्याची विनंती केली आहे
70 | Invalid email address. | अवैध ईमेल अड्रेस
71 | Upload | अपलोड
72 | Search Form | शोधण्याचा फॉर्म
73 | Features | वैशिष्ट्ये
74 | Import | आयात
75 | Edit %s | संपादित करा %s
76 | Add New | नवीन लिंक
77 | Font Family | फॉन्ट कुटुंब
78 | Select File | फाईल निवडा
79 | Height | उंची
80 | Width | रुंदी
81 | Bottom | तळाशी
82 | Top | अव्वल
83 | All | सर्व
84 | Remove | काढा
85 | Choose Image | प्रतिमा निवडा
86 | Featured | वैशिष्ट्यपूर्ण
87 | Right | उजवा
88 | Center | सेंटर
89 | Left | डावं
90 | Light | उजळ
91 | Dark | गडद
92 | Top Right | वरून उजवी बाजू
93 | Done | पूर्ण
94 | Save changes | बदल जतन करा
95 | Singapore | सिंगापोर
96 | San Marino | सॅन मरीनो
97 | Samoa | सॅमोआ
98 | Reunion | रीयुनियन
99 | Qatar | कतार
100 | Puerto Rico | प्युर्तो रिको
101 | Panama | पॅनामा
102 | Palau | पलाऊ
103 | Niue | न्यूई
104 | Nauru | नाऊरु
105 | Montserrat | मोंतसेर्रात
106 | Monaco | मोनॅको
107 | Mayotte | मेयोट्टे
108 | Mauritius | माॅरिशियस
109 | Martinique | मार्टीनिके
110 | Malta | माल्टा
111 | Maldives | माॅलडिव्स्
112 | Macao | मकाओ
113 | Luxembourg | लक्समबर्ग
114 | Kuwait | कुवैट
115 | Jersey | जर्सी
116 | Jamaica | जमैका
117 | Isle of Man | आयल ऑफ मॅन
118 | Hong Kong | हाँग काँग
119 | Guyana | गुयाना
120 | Guernsey | गर्न्ज़ी
121 | Guatemala | गुआतेमाला
122 | Guam | गुअॅम
123 | Guadeloupe | ग्वाडेलूपे
124 | Grenada | ग्रेनॅडा
125 | Gibraltar | जिब्राल्टर
126 | El Salvador | एल सॅलवॅडोर
127 | Dominica | डॉमिनिका
128 | Djibouti | जिबूटी
129 | Costa Rica | कोस्टा रीका
130 | Cape Verde | केप वर्दे
131 | Bermuda | बर्म्युडा
132 | Belize | बेलीझ
133 | Barbados |  बार्बाडॉस
134 | Bahrain | बाहरेन
135 | Australia | ऑस्ट्रेलिया
136 | Aruba | अरुबा
137 | Argentina | आर्जन्टिना
138 | Antarctica | अँटार्कटीका
139 | Anguilla | अँगुईल्ला
140 | Andorra | अॅनडोरा
141 | None | काहीही नाही
142 | Failed | अयशस्वी
143 | (Edit) | (बदला)
144 | All Done! | सर्वकाही पूर्ण झाले!
145 | Register | नोंदणी
146 | Page Title | पृष्ठ शीर्षक
147 | Author | लेखक
148 | Date | दिनांक
149 | Delete | खोडून टाकणे
150 | Edit | संपादन
151 | Approve | मंजूर
152 | Name | नाव
153 | Address | अॅड्रेस (Address)
154 | Logo | लोगो 
155 | Background Color | पार्श्वभूमीचा रंग
156 | Image Size | इमेज आकार
157 | Columns | रकाने
158 | Admin Email | प्रशासन ई-मेल
159 | Content | मजकूर
160 | Subject | विषय
161 | User Email | वापरकर्ता ईमेल
162 | Pinterest | पिन्टरेस्ट
163 | Tumblr | टंबलर
164 | Linkedin | लिंक्डइन
165 | Twitter | ट्विटर
166 | Facebook | फेसबुक
167 | 1 | १
168 | Library | ग्रंथालय
169 | Title | शीर्षक
170 | Status | स्थिती
171 | Type | टाईप
172 | Off | बंद 
173 | On | on
174 | Year | वर्ष
175 | Month | महिना 
176 | Day | दिवस
177 | Website | वेबसाईट
178 | Email | ईमेल
179 | Position | स्थान
180 | Description | वर्णन
181 | No | नाही
182 | Yes | होय
183 | Value | मूल्य
184 | Title: | शीर्षक:
