
health-check | Enable | सक्षम
health-check | Disable | अक्षम
health-check | Themes | थीम्स
health-check | Original | ओरिजिनल
health-check | I understand | मला समजतंय
health-check | File | फाईल
health-check | Status | स्थिती
health-check | Tools | टूल्स
health-check | Enable %s | सक्षम %s
health-check | Disable %s | अक्षम %s
health-check | Database name | डेटाबेस नाव
health-check | Copied | कॉपी केले
health-check | Plugins | प्लगिन्स
health-check | Troubleshooting | समस्यानिवारण
health-check | Table Of Contents | अनुक्रमाणिका
health-check | Version %s | आवृत्ती %s
health-check | By %s | %s द्वारे
health-check | %1$s (%2$s) | %1$s (%2$s)
health-check | Author | लेखक
health-check | Name | नाव
health-check | Database host | डेटाबेस होस्ट
health-check | Active Theme | सक्रिय थीम
health-check | No | नाही
health-check | Yes | होय
health-check | Site URL | साइट युआरअल
health-check | Language | भाषा
health-check | WordPress | वर्डप्रेस
