1 | Custom | सानुकूल
2 | Large | मोठा
3 | Thumbnail | थम्बनेल
4 | Full Size | पूर्ण आकार
5 | Size | आकार
6 | Link ID | लिंकचा आयडी
7 | right | उजवा
8 | center | सेंटर
9 | left | डावं
10 | none | काहीही नाही
11 | Align | संरेखित
12 | Link | लिंक
13 | Caption | शीर्षक
14 | Add Image | इमेज जोडा
15 | Change Image | इमेज बदला
16 | Image | इमेज
17 | Title | शीर्षक
18 | Image Widget | इमेज विजेट
19 | Image Widget | इमेज विजेट
20 | Documentation | डोक्युमेंटशन
21 | Install | स्थापित करा
22 | Update  | अपडेट
23 | Link Target | लिंकचे लक्ष
24 | Link Title | लिंकचे  शीर्षक
25 | Custom | सानुकूल
26 | Large | मोठा
27 | Thumbnail | थम्बनेल
28 | Full Size | पूर्ण आकार
29 | Size | आकार
30 | Link ID | लिंकचा आयडी
31 | right | उजवा
32 | center | सेंटर
33 | left | डावं
34 | none | काहीही नाही
35 | Align | संरेखित
36 | Link | लिंक
37 | Caption | शीर्षक
38 | Add Image | इमेज जोडा
39 | Change Image | इमेज बदला
40 | Image | इमेज
41 | Title | शीर्षक
42 | Image Widget | इमेज विजेट
43 | Image Widget | इमेज विजेट
44 | Documentation | डोक्युमेंटशन
45 | Install | स्थापित करा
46 | Update  | अपडेट
47 | Link Target | लिंकचे लक्ष
