1 | Network Settings | Şəbəkə Parametrləri
2 | Sites | Saytlar
3 | or | və ya
4 | Remove image | Təsviri Sil
5 | Order | Sıralama
6 | Video | Video
7 | Top | Üst
8 | Bottom | Alt
9 | Position | Mövqe
10 | Link text | Bağlantı Mətni
11 | Caution: | Xəbərdarlıq:
12 | %1$s (%2$s) | %1$s (%2$s)
13 | View post | Yazıya Bax
14 | Open link in a new tab | Bağlantını yeni səkmədə aç
15 | %1$s (%2$s) | %1$s (%2$s)
16 | Year | İl
17 | Month | Ay
18 | [%1$s] Please moderate: "%2$s" | [%1$s] Lütfən nəzarət edin: "%2$s"
19 | Currently %s comment is waiting for approval. Please visit the moderation panel: | Hazırda %s ədəd şərh təsdiq üçün gözləyir. Lütfən nəzarət lövhəsini ziyarət edin:
20 | Approve it: %s | Təsdiqlə: %s
21 | A new comment on the post "%s" is waiting for your approval | "%s" yazısında yeni bir şərh təsdiqinizi gözləyir. 
22 | Pingback excerpt:  | Geri bildiriş xülasəsi:
23 | A new pingback on the post "%s" is waiting for your approval | "%s" yazısında yeni bir geri bildiriş təsdiqinizi gözləyir.
24 | Trackback excerpt:  | Xülasə geri izləməsi:
25 | A new trackback on the post "%s" is waiting for your approval | "%s" yazısında yeni bir geri izləmə təsdiqinizi gözləyir
26 | Spam it: %s | Spam olaraq işarələ: %s
27 | Delete it: %s | Sil: %s
28 | Trash it: %s | Zibil qutusuna göndər: %s
29 | Permalink: %s | Daimi bağlantı: %s
30 | [%1$s] Comment: "%2$s" | [%1$s] Şərh: "%2$s"
31 | You can see all comments on this post here: | Bu yazıya edilmiş şərhlərə buradan baxa bilərsiniz:
32 | Email: %s | E-poçt: %s
33 | New comment on your post "%s" | "%s" yazınızda yeni şərh
34 | [%1$s] Pingback: "%2$s" | [%1$s] Geri bildiriş: "%2$s"
35 | You can see all pingbacks on this post here: | Bu yazıya edilmiş geri bildirişlərin tamamına buradan baxa bilərsiniz:
36 | New pingback on your post "%s" | "%s" yazınızda yeni geri bildiriş
37 | [%1$s] Trackback: "%2$s" | [%1$s] Geri İzləmə: "%2$s"
38 | You can see all trackbacks on this post here: | Bu yazıya edilmiş geri izləmələrin tamamına buradan baxa bilərsiniz:
39 | Comment: %s | Şərh: %s
40 | URL: %s | URL: %s
41 | New trackback on your post "%s" | "%s" yazınızda yeni geri izləmə
42 | None | Heç biri
43 | Remove | Sil
44 | Post Type | Yazı Növü
45 | Taxonomy | Taksanomiya
46 | Your email | E-poçt ünvanınız
47 | Activity | Aktivlik
48 | You cannot delete a plugin while it is active on the main site. | Əsas səhifədə aktiv durumda ikən bu qoşmanı silə bilməzsiniz.
49 | Archives | Arxivlər
50 | View Site | Sayta Bax
51 | Search | Axtar
52 | Custom: | Fərdi:
53 | Caption | Başlıq
54 | Image URL | Təsvir URL-i
55 | Log Out | Çıxış
56 | Toolbar | Alət çubuğu
