1 | Network Settings | नेटवर्क सेटिंग्स
2 | Sites | साईटस्
3 | Remove image | इमेज काढा
4 | Order | ऑर्डर
5 | %1$s (%2$s) | %1$s (%2$s)
6 | Year | वर्ष
7 | Month | महिना 
8 | None | काहीही नाही
9 | Add | जोडा
10 | Add | जोडा
11 | Customize | सानुकूल करा
12 | Add | जोडा
13 | Add | जोडा
14 | Saving… | जतन होत आहे...
15 | Preview | पूर्वावलोकन
16 | Preview | पूर्वावलोकन
17 | Invalid key | चुकीचं बटन
18 | Help | मदत
19 | Description | वर्णन
20 | At A Glance | एका दृष्टीक्षेपात
21 | Settings | सेटिंग्स
22 | Print | प्रिंट
23 | Time | वेळ
24 | %1$s on %2$s | %1$s च्यावर %2$s
25 | or | किंवा
26 | Date | दिनांक
27 | Pinterest | पिन्टरेस्ट
28 | Tumblr | टंबलर
29 | Press This | हे प्रेस करा 
30 | Print | प्रिंट
31 | Facebook | फेसबुक
32 | LinkedIn | लिंक्डइन
33 | Twitter | ट्विटर
34 | Email | ईमेल
35 | Email | ईमेल
36 | %1$s: %2$s | %1$s: %2$s
37 | Social | सोशल 
38 | Custom CSS | फेरफार करण्यासाठीची सीएसएस (CSS)
39 | Comments | टिप्पण्या
40 | (required) | (आवश्यक)
41 | edit | संपादन
42 | Website | वेबसाईट
43 | Email | ईमेल
44 | Name | नाव
45 | Get Started | सुरु करूया
46 | Remove image | इमेज काढा
47 | Order | ऑर्डर
48 | %1$s (%2$s) | %1$s (%2$s)
49 | Month | महिना 
50 | Year | वर्ष
51 | None | काहीही नाही
52 | Add | जोडा
53 | Add | जोडा
54 | Customize | सानुकूल करा
55 | Add | जोडा
56 | Add | जोडा
57 | Saving… | जतन होत आहे...
58 | Preview | पूर्वावलोकन
59 | Preview | पूर्वावलोकन
60 | Invalid key | चुकीचं बटन
61 | Help | मदत
62 | Description | वर्णन
63 | Settings | सेटिंग्स
64 | At A Glance | एका दृष्टीक्षेपात
65 | Print | प्रिंट
66 | Time | वेळ
67 | %1$s on %2$s | %1$s च्यावर %2$s
68 | Date | दिनांक
69 | Pinterest | पिन्टरेस्ट
70 | Tumblr | टंबलर
71 | Press This | हे प्रेस करा 
72 | Print | प्रिंट
73 | Facebook | फेसबुक
74 | LinkedIn | लिंक्डइन
75 | Twitter | ट्विटर
76 | Email | ईमेल
77 | Email | ईमेल
78 | %1$s: %2$s | %1$s: %2$s
79 | Social | सोशल 
80 | Custom CSS | फेरफार करण्यासाठीची सीएसएस (CSS)
81 | Comments | टिप्पण्या
82 | (required) | (आवश्यक)
83 | edit | संपादन
84 | Website | वेबसाईट
85 | Email | ईमेल
86 | Name | नाव
87 | Get Started | सुरु करूया
