1 | Plugin | प्लगईन
2 | Show hierarchy | अनुक्रम दाखवा
3 | Filter | गाळणे
4 | Title: | शीर्षक:
5 | Rating | रेटिंग
6 | Email: | ईमेल:
7 | Note: | टीप:
8 | New password | नवीन पासवर्ड
9 | Last name | शेवटचे नाव
10 | First name | पहिले नाव
11 | Save Changes | बदल जतन करा
12 | Templates | टेंप्लेटस् (साचे)
13 | Theme | थीम
14 | Error: %s | त्रुटी: %s
15 | Language | भाषा
16 | Site URL | साइट युआरअल
17 | Tools | टूल्स
18 | Custom: | सानुकूल:
19 | Order: | ऑर्डर:
20 | Search | शोधा
21 | Search for: | शोध घ्या यांचा:
22 | Text Color | मजकूर रंग
23 | Position | स्थान
24 | completed | पूर्ण झाले
25 | failed | अयशस्वी
26 | pending | प्रलंबित
27 | Mayotte | मेयोट्टे
28 | Samoa | सॅमोआ
29 | Vatican | वॅटीकन
30 | El Salvador | एल सॅलवॅडोर
31 | San Marino | सॅन मरीनो
32 | Singapore | सिंगापोर
33 | Reunion | रीयुनियन
34 | Qatar | कतार
35 | Palau | पलाऊ
36 | Puerto Rico | प्युर्तो रिको
37 | Pitcairn | पिटकेन
38 | Panama | पॅनामा
39 | Niue | न्यूई
40 | Nauru | नाऊरु
41 | Maldives | माॅलडिव्स्
42 | Mauritius | माॅरिशियस
43 | Malta | माल्टा
44 | Montserrat | मोंतसेर्रात
45 | Martinique | मार्टीनिके
46 | Monaco | मोनॅको
47 | Luxembourg | लक्समबर्ग
48 | Kuwait | कुवैट
49 | Jamaica | जमैका
50 | Jersey | जर्सी
51 | Isle of Man | आयल ऑफ मॅन
52 | Hong Kong | हाँग काँग
53 | Guyana | गुयाना
54 | Guam | गुअॅम
55 | Guatemala | गुआतेमाला
56 | Guadeloupe | ग्वाडेलूपे
57 | Gibraltar | जिब्राल्टर
58 | Guernsey | गर्न्ज़ी
59 | Grenada | ग्रेनॅडा
60 | Fiji | फीजी
61 | Dominica | डॉमिनिका
62 | Djibouti | जिबूटी
63 | Cape Verde | केप वर्दे
64 | Costa Rica | कोस्टा रीका
65 | Belize | बेलीझ
66 | Brunei | बृनेई
67 | Bermuda | बर्म्युडा
68 | Bahrain | बाहरेन
69 | Barbados |  बार्बाडॉस
70 | Aruba | अरुबा
71 | Australia | ऑस्ट्रेलिया
72 | Argentina | आर्जन्टिना
73 | Antarctica | अँटार्कटीका
74 | Anguilla | अँगुईल्ला
75 | Andorra | अॅनडोरा
76 | Page | पृष्ठ
77 | Author:  | लेखक
78 | Reviews | पुनरावलोकने
79 | Select | निवडा
80 | Tags | टॅगस्
81 | Add New | नवीन लिंक
82 | Email: | ईमेल:
83 | Invalid email address. | अवैध ईमेल अड्रेस
84 | New  | नवीन
85 | Add New  | नवीन लिंक
86 | Update  | अपडेट
87 | Edit  | संपादन
88 | Parent  | पॅरेंट
89 | All  | सर्व
90 | Search  | शोधा
91 | on | on
92 |  available | उपलब्ध
93 | Failed | अयशस्वी
94 | New | नवीन
95 | Image Sizes | प्रतिमा आकार
96 | Save | जतन करा
97 | Address | अॅड्रेस (Address)
98 | Random | अविशिष्ट
99 | Allow | अनुमती द्या
100 | Do not allow | परवानगी देवू नका
101 | Length | लांबी
102 | Standard | स्टँडर्ड
103 | Cancel | रद्द करा
104 | Advanced | प्रगत
105 | Move to Trash | ⁠⁠⁠ट्रॅशमध्ये हलवा
106 | Delete Permanently | कायमचे हटवा
107 | Email Address | ई-मेल अॅड्रेस
108 | Last Name | शेवटचे नाव
109 | First Name | पहिले नाव
110 | Subject | विषय
111 | View | पहा
112 | Actions | क्रिया
113 | Today | आज
114 | Year | वर्ष
115 | You do not have sufficient permissions to access this page. | या पृष्ठावर प्रवेश करण्यासाठी आपल्याकडे पुरेश्या परवानग्या नाहीत.
116 | Settings | सेटिंग्स
117 | Dashboard | डॅशबोर्ड
118 | update now | आत्ता अद्यायावत करा
119 | Remove image | इमेज काढा
120 | Change image | इमेज बदला
121 | Thumbnail | थम्बनेल
122 | Capabilities | क्षमता
123 | Hide | लपवा
124 | Show | दाखवा 
125 | Categories | कॅटेगरी
126 | Crop | क्रोप
127 | Save changes | बदल जतन करा
128 | Descending | उतरत्या क्रमाने
129 | Ascending | चढत्या क्रमाने
130 | Permalinks | परमालिंक्स
131 | Beta testing | बीटा चाचणी
132 | General | सामान्य
133 | All | सर्व
134 | None | काहीही नाही
135 | Remove | काढा
136 | Yes | होय
137 | Code | कोड
138 | Order | ऑर्डर
139 | Status | स्थिती
140 | Scheduled | अनुसूचित
141 | Missed schedule | वेळापत्रक नाही
142 | Y/m/d | Y/m/d
143 | Y/m/d g:i:s A | Y/m/d g:i:s a
144 | Unpublished | अप्रकाशित
145 | Change | बदला
146 | Date | दिनांक
147 | Title | शीर्षक
148 | Custom field deleted. | सानुकूल फील्ड काढून टाकली.
149 | Custom field updated. | सानुकूल फील्ड अपडेट झाले.
150 | General Settings | सामान्य सेटिंग्ज
