1 | failed | अयशस्वी
2 | Items | आयटमस्
3 | Move to trash | ⁠⁠⁠ट्रॅशमध्ये हलवा
4 | About | विषयी
5 | Save changes | बदल जतन करा
6 | Register | नोंदणी
7 | Lost your password? | पासवर्ड विसरलात?
8 | Remember me | माझी आठवण ठेवा
9 | User Email | वापरकर्ता ईमेल
10 | Summary | सारांश
11 | Redo | पुन्हा करा
12 | Your email | आपला ईमेल
13 | Username or email | वापरकर्त्याचे नाव अथवा ईमेल:
14 | Profile | प्रोफाईल
15 | minute | मिनिट
16 | hour | तास
17 | day | दिवस
18 | Preview %s | पूर्वावलोकन %s
19 | items | आयटमस्
20 | Deleting... | हटवीत आहे...
21 | Installing... | स्थापना होत आहे...
22 | Install | स्थापित करा
23 | Change | बदला
24 | Actions | क्रिया
25 | Version:  | आवृत्ती:
26 | Template | टेमप्लेट 
27 | Size | आकार
28 | Slug | स्लग
29 | Advanced | प्रगत
30 | ID | आयडी
31 | Description | वर्णन
32 |  Copy | कॉपी
33 | Welcome | आपले स्वागत आहे
34 | Search users | वापरकर्ते शोधा
35 | Sorry, you are not allowed to edit this user. | क्षमस्व, आपणास ह्या वापरकर्त्याला एडिट करायची परवानगी नाही.
36 | Activate | सक्रिय करा
37 | Activity | अॅक्टिवेटी
38 | Please try again. | थोड्यावेळाने पुन्हा प्रयत्न करा.
39 | View | पहा
40 | Edit | संपादन
41 | Remove | काढा
42 | Value | मूल्य
43 | Key | की
44 | Or | किंवा
45 | Failed | अयशस्वी
46 | Clear | स्पष्ट
47 | Edit &#8220;%s&#8221; | एडीट करा &#8220;%s&#8221;
48 | Attributes | विशेषता
49 | Upload | अपलोड
50 | File | फाईल
51 | Youtube | युटयूब
52 | None | काहीही नाही
53 | Author | लेखक
54 | Featured | वैशिष्ट्यपूर्ण
55 | Search | शोधा
56 | New password | नवीन पासवर्ड
57 | Display name publicly as | सार्वजनिकरित्या प्रदर्शन नाव
58 | Last Name | शेवटचे नाव
59 | First Name | पहिले नाव
60 | Share a little biographical information to fill out your profile. This may be shown publicly. | आपल्या प्रोफाइल भरण्यासाठी थोडे चरित्रात्मक माहिती शेअर करा. हे सार्वजनिकरित्या दर्शविली जाऊ शकते.
61 | Biographical Info | चरित्रात्मक माहिती
62 | Overview | आढावा
63 | Schedule | कार्यक्रम
64 | saved. | जतन केले
65 | Custom field deleted. | सानुकूल फील्ड काढून टाकली.
66 | Custom field updated. | सानुकूल फील्ड अपडेट झाले.
67 | Title | शीर्षक
68 | Nickname | टोपणनाव
69 | Tools | टूल्स
70 | OK | ठीक
71 | New page title | नवीन पृष्ठ शीर्षक
72 | Archive | संग्रहण
73 | Finish | समाप्त
74 | Action | क्रिया
75 | Time | वेळ
76 | Status: | स्थिती:
77 | Completed | पूर्ण झाले
78 | Continue | सुरु ठेवा
79 | Log out of this account | या खात्य मधून बाहेर या 
80 | Pending | प्रलंबित
81 | Email: %s | इमेल: %s
82 | Trash | ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠ट्रॅश
83 | Scheduled | अनुसूचित
84 | Pending Review | पुनरावलोकन प्रलंबित
85 | Install Now | त्वरीत स्थापित करा
86 | All | सर्व
