1 | Preview | पूर्वावलोकन
2 | Or link to existing content | किंवा विद्यमान सामग्री लिंक
3 | Open link in a new tab | नवीन टॅबमध्ये लिंक उघडा 
4 | Link Text | लिंक मजकूर
5 | URL | URL
6 | Enter the destination URL | डेस्टीनेशन यूआरएल टाका
7 | OK | ठीक
8 | Active | सक्रिय
9 | Language | भाषा
10 | Select | निवडा
11 | List view | सूची पहा
12 | Link | लिंक
13 | Rows | ओळी
14 | Time format | वेळ स्वरूप
15 | %s item | %s आयटम
16 | Deselect | निवड रद्द करा
17 | Remove | काढा
18 | Copy | कॉपी
19 | Add | जोडा
20 | Version %s | आवृत्ती %s
21 | Use as featured Image | वैशिष्ट्यीकृत प्रतिमा म्हणून वापरा
22 | Remove featured Image | वैशिष्ट्यीकृत प्रतिमा काढून टाका
23 | Set featured Image | वैशिष्ट्यीकृत इमेज सेट करा
24 | Show more details | अधिक तपशील दर्शवा
25 | Website | वेबसाईट
26 | Time | वेळ
27 | Relationship | संबंध
28 | Password | पासवर्ड
29 | None | काहीही नाही
30 | Media File | मीडिया फाईल
31 | Attachment Page | अटेचमेंट पृष्ठ
32 | Date | दिनांक
33 | Use as featured image | वैशिष्ट्यीकृत प्रतिमा म्हणून वापरा
34 | Remove featured image | वैशिष्ट्यीकृत प्रतिमा काढून टाका
35 | Set featured image | वैशिष्ट्यीकृत इमेज सेट करा
36 | Allowed Files | अनुमती फाईल्स
37 | Select Color | रंग निवडा
38 | Default | मुलभूत
39 | Templates | टेंप्लेटस् (साचे)
40 | Insert | समाविष्ट करा
41 | Page Attributes | पृष्ठ(Page) गुणधर्म
42 | Custom Fields | सानुकूल फील्ड
43 | Featured Image | वैशिष्ट्यीकृत इमेज
44 | Title | शीर्षक
45 | Move | हलवा
46 | Configure | कोन्फिगर
47 | Last Modified | शेवटचा बदल
48 | Taxonomy Template | टॅक्सोनोमीचे टेम्प्लेट
49 | Save | जतन करा
50 | Capabilities | क्षमता
51 | %s User | %s वापरकर्ता
52 | Page | पृष्ठ
53 | Page Template | पेज टेमप्लेट
54 | Page Title | पृष्ठ शीर्षक
