1 | Select Color | रंग निवडा
2 | Cancel | रद्द करा
3 | Date | दिनांक
4 | Select | निवडा
5 | Info | माहिती
6 | Media | मीडिया
7 | Gallery | गॅलरी
8 | Border | सीमा
9 | Editor | संपादक
10 | Select Image | प्रतिमा निवडा 
11 | CSS Code | CSS कोड
12 | Preset | प्रीसेट
13 | Text | मजकूर
14 | Documentation | डोक्युमेंटशन
15 | Save Changes | बदल जतन करा
16 | Status | स्थिती
17 | Credits | क्रेडिट
18 | Changelog | चेंजलॉग
19 | User | वापरकर्ता
20 | Theme | थीम
21 | Error: %s | त्रुटी: %s
22 | Language | भाषा
23 | Posts Page | पृष्ठ पोस्ट करा
24 | Front Page | पहिले पान
25 | Site URL | साइट युआरअल
26 | Version %s | आवृत्ती %s
27 | Email Address | ई-मेल अॅड्रेस
28 | Optional | पर्यायी
29 | Size | आकार
30 | Style | शैली
31 | Font family | फॉन्ट कुटुंब
32 | Font Family | फॉन्ट कुटुंब
33 | Off | बंद 
34 | On | on
35 | Delete | खोडून टाकणे
36 | URL | URL
37 | Description | वर्णन
38 | Title | शीर्षक
39 | Active | सक्रिय
40 | Bottom | तळाशी
41 | Top | अव्वल
42 | All | सर्व
43 | Remove | काढा
44 | Upload | अपलोड
45 | No media selected | मीडिया निवडलेला नाही
46 | Background Position | पार्श्वभूमी स्थिती 
47 | Background Attachment | पार्श्वभूमी संलग्नक
48 | Background Repeat | पार्श्वभूमी स्थिती
49 | Import | आयात
50 | Press return or enter to expand |  विस्तीर्ण करण्यासाठी एंटर किंवा रिटर्न कळ दाबा
51 | Press return or enter to open | उघडण्यासाठी एंटर किंवा रिटर्न दाबा
52 | You are customizing %s | तुम्ही %s हे कस्टोमाइज करत आहात 
53 | Press return or enter to open this panel | हा पटल उघडण्यासाठी रिटर्न किंवा एन्टर दाबा
54 | Dismiss | घालवा
55 | Default | मुलभूत
56 | Disable | अक्षम
57 | Enable | सक्षम
58 | Text | मजकूर
59 | Select Image | प्रतिमा निवडा 
60 | Date | दिनांक
61 | Border | सीमा
62 | Select Color | रंग निवडा
63 | Cancel | रद्द करा
64 | Date | दिनांक
65 | Preset | प्रीसेट
66 | Select Image | प्रतिमा निवडा 
67 | Select | निवडा
68 | Info | माहिती
69 | Media | मीडिया
70 | Gallery | गॅलरी
71 | Border | सीमा
72 | CSS Code | CSS कोड
73 | Editor | संपादक
74 | Text | मजकूर
75 | Documentation | डोक्युमेंटशन
76 | Save Changes | बदल जतन करा
77 | Status | स्थिती
78 | Credits | क्रेडिट
79 | Changelog | चेंजलॉग
80 | User | वापरकर्ता
81 | Theme | थीम
82 | Error: %s | त्रुटी: %s
83 | Language | भाषा
84 | Posts Page | पृष्ठ पोस्ट करा
85 | Front Page | पहिले पान
86 | Site URL | साइट युआरअल
87 | Version %s | आवृत्ती %s
88 | Email Address | ई-मेल अॅड्रेस
89 | Optional | पर्यायी
90 | Size | आकार
91 | Style | शैली
92 | Font family | फॉन्ट कुटुंब
93 | Font Family | फॉन्ट कुटुंब
94 | Off | बंद 
95 | On | on
96 | Delete | खोडून टाकणे
97 | URL | URL
98 | Description | वर्णन
99 | Title | शीर्षक
100 | Active | सक्रिय
101 | Bottom | तळाशी
102 | Top | अव्वल
103 | All | सर्व
104 | Remove | काढा
105 | Upload | अपलोड
106 | No media selected | मीडिया निवडलेला नाही
107 | Background Position | पार्श्वभूमी स्थिती 
108 | Background Attachment | पार्श्वभूमी संलग्नक
109 | Background Repeat | पार्श्वभूमी स्थिती
110 | Import | आयात
111 | Press return or enter to expand |  विस्तीर्ण करण्यासाठी एंटर किंवा रिटर्न कळ दाबा
112 | Press return or enter to open | उघडण्यासाठी एंटर किंवा रिटर्न दाबा
113 | You are customizing %s | तुम्ही %s हे कस्टोमाइज करत आहात 
114 | Press return or enter to open this panel | हा पटल उघडण्यासाठी रिटर्न किंवा एन्टर दाबा
115 | Dismiss | घालवा
116 | Default | मुलभूत
117 | Disable | अक्षम
118 | Enable | सक्षम
119 | Text | मजकूर
120 | Select Image | प्रतिमा निवडा 
121 | Date | दिनांक
122 | Border | सीमा
