1 | Documentation | Sənədlər
2 | Version %s | Versiya %s
3 | More Actions | Daha çox hərəkət
4 | Learn more about getting started | Başlamaq üçün daha çoxunu öyrənin
5 | Get Started | Başlanğıc
6 | All Categories | Bütün Kateqoriyalar
7 | Search Categories | Kateqoriyaları axtar
8 | Categories | Kateqoriyalar
9 | Categories | Kateqoriyalar
10 | Add New | Yenisini əlavə et
11 | Date | Tarix
12 | Author | Müəllif
13 | List | Siyahı
14 | Dashboard | Əsas Lövhə
15 | Menu | Menyu
16 | Translation Ready | Tərcüməyə hazır
17 | Documentation | Sənədlər
18 | Links | Bağlantı
19 | Features | Özəlliklər
20 | Documentation | Sənədlər
21 | Version %s | Versiya %s
22 | More Actions | Daha çox hərəkət
23 | Learn more about getting started | Başlamaq üçün daha çoxunu öyrənin
24 | Get Started | Başlanğıc
25 | All Categories | Bütün Kateqoriyalar
26 | Search Categories | Kateqoriyaları axtar
27 | Categories | Kateqoriyalar
28 | Categories | Kateqoriyalar
29 | Add New | Yenisini əlavə et
30 | Date | Tarix
31 | Author | Müəllif
32 | List | Siyahı
33 | Dashboard | Əsas Lövhə
34 | Menu | Menyu
35 | Translation Ready | Tərcüməyə hazır
36 | Documentation | Sənədlər
37 | Links | Bağlantı
38 | Features | Özəlliklər
