1 | Documentation | प्रलेखन
2 | Version %s | संस्करण %s
3 | More Actions | अधिक कार्रवाई
4 | Learn more about getting started | शुरुआत करने के बारे में और जानें
5 | Get Started | प्रारंभ करें
6 | All Categories | सभी श्रेणियां
7 | Search Categories | श्रेणी ढूंढें
8 | Categories | श्रेणी
9 | Categories | श्रेणी
10 | Add New | नया जोड़ें
11 | Date | दिनांक
12 | Author | लेखक
13 | List | सूची
14 | Dashboard | डैशबोर्ड
15 | Menu | मेनू 
16 | Translation Ready | अनुवाद के लिए तैयार
17 | Documentation | प्रलेखन
18 | Links | लिंक्स
19 | Features | विशेषताएं
20 | Documentation | प्रलेखन
21 | Version %s | संस्करण %s
22 | More Actions | अधिक कार्रवाई
23 | Learn more about getting started | शुरुआत करने के बारे में और जानें
24 | Get Started | प्रारंभ करें
25 | All Categories | सभी श्रेणियां
26 | Search Categories | श्रेणी ढूंढें
27 | Categories | श्रेणी
28 | Categories | श्रेणी
29 | Add New | नया जोड़ें
30 | Date | दिनांक
31 | Author | लेखक
32 | List | सूची
33 | Dashboard | डैशबोर्ड
34 | Menu | मेनू 
35 | Translation Ready | अनुवाद के लिए तैयार
36 | Documentation | प्रलेखन
37 | Links | लिंक्स
38 | Features | विशेषताएं
