1 | Documentation | डोक्युमेंटशन
2 | Version %s | आवृत्ती %s
3 | More Actions | आणखी कृत्या 
4 | Learn more about getting started | प्रारंभ बद्दल अधिक जाणून घ्या
5 | Get Started | सुरु करूया
6 | All Categories | समग्र विभाग
7 | Search Categories | कॅटेगरीज शोधा
8 | Categories | कॅटेगरी
9 | Categories | कॅटेगरी
10 | Add New | नवीन लिंक
11 | Date | दिनांक
12 | Author | लेखक
13 | Dashboard | डॅशबोर्ड
14 | Menu | मेनू
15 | Translation Ready | भाषांतर तयार आहे
16 | Documentation | डोक्युमेंटशन
17 | Links | लिंक्स
18 | Features | वैशिष्ट्ये
19 | Documentation | डोक्युमेंटशन
20 | Version %s | आवृत्ती %s
21 | More Actions | आणखी कृत्या 
22 | Learn more about getting started | प्रारंभ बद्दल अधिक जाणून घ्या
23 | Get Started | सुरु करूया
24 | All Categories | समग्र विभाग
25 | Search Categories | कॅटेगरीज शोधा
26 | Categories | कॅटेगरी
27 | Categories | कॅटेगरी
28 | Add New | नवीन लिंक
29 | Date | दिनांक
30 | Author | लेखक
31 | Dashboard | डॅशबोर्ड
32 | Menu | मेनू
33 | Translation Ready | भाषांतर तयार आहे
34 | Documentation | डोक्युमेंटशन
35 | Links | लिंक्स
36 | Features | वैशिष्ट्ये
