1 | Auto | स्वयं
2 | Blogger | ब्लॉगर
3 | Documentation | डोक्युमेंटशन
4 | Undo | पाठीमागे
5 | Headings | शीर्षक
6 | Invalid post. | अवैध पोस्ट.
7 | Invalid request. | अवैध विनंती.
8 | Dismiss | घालवा
9 | Restore | रिस्टोर
10 | Descending | उतरत्या क्रमाने
11 | Ascending | चढत्या क्रमाने
12 | Search | शोधा
13 | Bottom | तळाशी
14 | Top | अव्वल
15 | Current Color | सध्याचा रंग
16 | Select Color | रंग निवडा
17 | Clear | स्पष्ट
18 | Save | जतन करा
19 | Paragraph | परिच्छेद
20 | Links | लिंक्स
21 | Alignment | संरेखन
22 | Italic | ईटॅलीक
23 | Position | स्थान
24 | Light | उजळ
25 | Theme | थीम
26 | Size | आकार
27 | Middle | मध्य
28 | Text Color | मजकूर रंग
29 | Colors | रंग
30 | Square | चैारस
31 | Invalid email address. | अवैध ईमेल अड्रेस
32 | Your Email | आपला ईमेल
33 | Bold | बोल्ड
34 | Value | मूल्य
35 | Subject | विषय
36 | Deactivate | निष्क्रिय
37 | Active | सक्रिय
38 | Autoplay | ऑटोप्ले
39 | Select video | व्हिडीओ निवडा
40 | URL | URL
41 | Network | नेटवर्क
42 | YouTube | युटयूब
43 | Yelp | येल्प
44 | WordPress | वर्डप्रेस
45 | Github | गिटहब
46 | Foursquare | फोरस्क्वेअर
47 | Instagram | इन्स्टाग्राम
48 | Tumblr | टंबलर
49 | Pinterest | पिन्टरेस्ट
50 | LinkedIn | लिंक्डइन
51 | RSS | आरएसएस
52 | Twitter | ट्विटर
53 | Facebook | फेसबुक
54 | Tile | टाईल
55 | Image | इमेज
56 | Featured | वैशिष्ट्यपूर्ण
57 | Column | रकाना
58 | Columns | रकाने
59 | Previous | मागील
60 | Next | पुढे
61 | Alt text | Alt Text
62 | Image size | इमेज आकार
63 | Image file | इमेज फाईल
64 | Video | व्हिडिओ
65 | Background image | पार्श्वभूमीची इमेज
66 | Visible | दृश्य स्वरुपात
67 | Style | शैली
68 | Custom | सानुकूल
69 | Styles | शैली
70 | Settings | सेटिंग्स
71 | Responsive layout | रिस्पोन्सिव आराखडा
72 | Text | मजकूर
73 | Features | वैशिष्ट्ये
74 | Automatically add paragraphs | आपोआप परिच्छेद समाविष्ट करा
75 | Border color | सीमा रंग
76 | Background color | पार्श्वभूमीचा रंग
77 | Title attribute | शीर्षक गुणधर्म
78 | None | काहीही नाही
79 | Large | मोठा
80 | Text color | मजकूर रंग
81 | Justify | जस्टिफाय करा
82 | Align | संरेखित
83 | Manage Widgets | विजेट व्यवस्थापित करा
84 | Default | मुलभूत
85 | Menu order | मेनू क्रम
86 | Random order | अविशिष्ट ऑर्डर
87 | Title | शीर्षक
88 | Add | जोडा
89 | Remove | काढा
90 | Optional | पर्यायी
91 | All | सर्व
92 | Documentation | डोक्युमेंटशन
93 | Auto | स्वयं
94 | Blogger | ब्लॉगर
95 | Documentation | डोक्युमेंटशन
96 | Undo | पाठीमागे
97 | Headings | शीर्षक
98 | Invalid post. | अवैध पोस्ट.
99 | Invalid request. | अवैध विनंती.
100 | Dismiss | घालवा
101 | Restore | रिस्टोर
102 | Descending | उतरत्या क्रमाने
103 | Ascending | चढत्या क्रमाने
104 | Search | शोधा
105 | Bottom | तळाशी
106 | Top | अव्वल
107 | Current Color | सध्याचा रंग
108 | Select Color | रंग निवडा
109 | Clear | स्पष्ट
110 | Save | जतन करा
111 | Paragraph | परिच्छेद
112 | Links | लिंक्स
113 | Alignment | संरेखन
114 | Italic | ईटॅलीक
115 | Position | स्थान
116 | Light | उजळ
117 | Theme | थीम
118 | Size | आकार
119 | Middle | मध्य
120 | Text Color | मजकूर रंग
121 | Colors | रंग
122 | Square | चैारस
123 | Invalid email address. | अवैध ईमेल अड्रेस
