1 | Your password reset link appears to be invalid. Please request a new link below. | आपली पासवर्ड रीसेत लिंक अमान्य असल्याचे दिसते. कृपया खाली दिलेल्या लिंक वरून नवीन मागवा. 
2 | Your password reset link has expired. Please request a new link below. | आपली पासवर्ड रीसेट लिंक कालबाह्य झाली आहे. खाली एक नवीन लिंक विनंती करा.
3 | https://wordpress.org/support/ | https://mr.wordpress.org/support/
4 | Enter Title Here | येथे शीर्षक प्रविष्ट करा
5 | Finish | समाप्त
6 | Content | मजकूर
7 | More Details | अधिक  माहिती 
8 | Role | भूमिका
9 | Edit | संपादन
10 | items | आयटमस्
11 | Pages | पृष्ठ
12 | %s page | %s पेज 
13 | Publish | प्रकाशित
14 | Clear | स्पष्ट
15 | Select | निवडा
16 | Profile | प्रोफाईल
17 | General | सामान्य
18 | Appearance | देखावा
19 | Uploads | अपलोडस्
20 | Email | ईमेल
21 | Custom URL | Custom URL
22 | User Display Name | वापरकर्ता दर्शनी नाव
23 | User ID | वापरकर्ता ID
24 | 1 comment | १ प्रतिक्रिया
25 | no comments | कोणत्याही टिप्पण्या नाहीत
26 | %s ago | %s पूर्वी
27 | Title: | शीर्षक:
28 | Search Users | वापरकर्ते शोधा
29 | Comments | टिप्पण्या
30 | Posts | टिप्पणी
31 | Add New | नवीन लिंक
32 | Default Template | मुलभूत टेमप्लेट
33 | Register | नोंदणी
34 | Deactivate | निष्क्रिय
35 | About | विषयी
36 | Activate | सक्रिय करा
37 | Save | जतन करा
38 | Change file | फाईल बदला
39 | New Password | नवीन पासवर्ड
40 | %s min | %s मि.
41 | Singapore | सिंगापोर
42 | San Marino | सॅन मरीनो
43 | Samoa | सॅमोआ
44 | Réunion | रीयुनियन
45 | Qatar | कतार
46 | Puerto Rico | प्युर्तो रिको
47 | Pitcairn | पिटकेन
48 | Panama | पॅनामा
49 | Palau | पलाऊ
50 | Niue | न्यूई
51 | Montserrat | मोंतसेर्रात
52 | Monaco | मोनॅको
53 | Mayotte | मेयोट्टे
54 | Mauritius | माॅरिशियस
55 | Martinique | मार्टीनिके
56 | Malta | माल्टा
57 | Maldives | माॅलडिव्स्
58 | Macao | मकाओ
59 | Luxembourg | लक्समबर्ग
60 | Kuwait | कुवैट
61 | Jersey | जर्सी
62 | Jamaica | जमैका
63 | Isle of Man | आयल ऑफ मॅन
64 | Hong Kong | हाँग काँग
65 | Guyana | गुयाना
66 | Guernsey | गर्न्ज़ी
67 | Guatemala | गुआतेमाला
68 | Guam | गुअॅम
69 | Guadeloupe | ग्वाडेलूपे
70 | Grenada | ग्रेनॅडा
71 | Gibraltar | जिब्राल्टर
72 | Fiji | फीजी
73 | El Salvador | एल सॅलवॅडोर
74 | Dominica | डॉमिनिका
75 | Djibouti | जिबूटी
76 | Costa Rica | कोस्टा रीका
77 | Cape Verde | केप वर्दे
78 | Bermuda | बर्म्युडा
79 | Belize | बेलीझ
80 | Barbados |  बार्बाडॉस
81 | Bahrain | बाहरेन
82 | Australia | ऑस्ट्रेलिया
83 | Aruba | अरुबा
84 | Argentina | आर्जन्टिना
85 | Antarctica | अँटार्कटीका
86 | Anguilla | अँगुईल्ला
87 | Andorra | अॅनडोरा
88 | Zulu | झूलू
89 | Chinese | चीनी
90 | Yiddish | यिद्दिश
91 | Vietnamese | व्हिएतनामी
92 | Ukrainian | युक्रेनियन
93 | Turkish | तुर्कीश
94 | Tagalog | टागालॉग
95 | Thai | थाई
96 | Swahili | स्वाहिली
97 | Swedish | स्वीडिश
