1 | Failed | Uğursuz
2 | Pending | Gözləyən
3 | %s hour | %s saat
4 | %s day | %s gün
5 | %s week | %s həftə
6 | %s month | %s ay
7 | %s year | %s il
8 | Sorry, you are not allowed to change the comment type. | Üzr istəyirik, sizin bu şərhə dəyişiklik etməyə icazəniz yoxdur.
9 | Move up | Yuxarı daşı
10 | Move down | Aşağı daşı
11 | %s page | %s Səhifə
12 | optional | İstəyə Bağlı
13 | Visit Dashboard | Başlanğıca get
14 | Recommended | Məsləhət bilinən
15 | Bangkok | Bankok
16 | Thumbnail width | Miniatür təsvirin genişliyi
17 | Status: | Status:
18 | Move &#8220;%s&#8221; to the Trash | &#8220;%s&#8221; maddəsini zibil qutusuna göndər
19 | Dar es Salaam | Dar əs Salaam
20 | Update now | İndi Yenilə
21 | Plugin | Qoşma
22 | Position | Mövqe
23 | Sort by: | Sırala:
24 | Update Available | Yenilənmə Mövcuddur
25 | Luanda | Luanda
26 | Add New | Yenisini əlavə et
27 | Images | Təsvir
28 | Published | Dərc edilmiş
29 | File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini or by post_max_size being defined as smaller than upload_max_filesize in php.ini. | Fayl boşdur. Lütfən daha zəngin bir şeylər yükləyin. Bu xəta php.ini faylında yükləmələrin əngəllənmiş olmasından ya da post_max_size dəyərinin upload_max_filesize dəyərindən kiçik olması üzündən də ola bilər.
30 | Activate | Aktivasiya
31 | Filter by category | Kateqoriyaya görə filtr
32 | Custom Link | Xüsusi Bağlantı
33 | Export | İxrac
34 | Import | İdxal
35 | La Paz | La Pass
36 | Site URL. | Sayt URL.
37 | Source | Mənbə
38 | Info | بیلگی
39 | Error | Xəta
40 | Image url | Təsvir URL-i
41 | Deleted | Silinmiş
42 | Choose from the most used tags | Ən çox istifadə edilən etiketlər arasından seç
43 | Add or remove tags | Etiket əlavə et ya da sil
44 | Separate tags with commas | Etiketləri vergül ilə ayırın
45 | Popular tags | Populyar etiketlər
46 | New tag name | Yeni etiket adı
47 | Add new tag | Yeni etiket əlavə et
48 | Update tag | Etiketi yenilə
49 | Edit tag | Etiketi redaktə et
50 | All tags | Bütün etiketlər
51 | Search tags | Etiketləri axtar
52 | Tag | Etiket
53 | New category name | Yeni kateqoriya adı
54 | Add new category | Yeni kateqoriya əlavə et
55 | Update category | Kateqoriyanı yenilə
56 | Edit category | Kateqoriyanı redaktə et
57 | Parent category: | Valideyin kateqoriya:
58 | Parent category | Valideyin kateqoriya
59 | All categories | Bütün Kateqoriyalar
60 | Search categories | Kateqoriyaları axtar
61 | Category | Kateqoriya
62 | %1$s (%2$s) | %1$s (%2$s)
63 | %1$s at %2$s | %1$s tarixində, saat %2$s
64 | Lagos | Laqos
65 | Dublin | Dublin
66 | Installed | Qurulmuş
67 | Samoa | Samoa
68 | Next | Sonrakı
69 | Previous | Öncəki
70 | File | Fayl
71 | Dashboard | Əsas Lövhə
72 | Dismiss | Gizlət
73 | Items | maddələr
74 | Invalid post ID. | Keçərsiz yazı ID.
75 | Europe | Avropa
76 | Asia | Asiya
77 | Africa | Afrika
78 | Order | Sıralama
79 | Search for: | Axtarış:
80 | Confirm new password | Yeni parolu təsdiqlə
81 | Username or email | İstifadəçi adı və ya E-poçt
82 | Username or email address | İstifadəçi adı və ya E-poçt Ünvanı
83 | Order | Sıralama
84 | OR | və ya
85 | My account | Mənim hesabım
86 | Advanced options | Qabaqcıl Parametrlər
87 | Failed | Uğursuz
88 | Tags | Etiketlər
89 | Categories | Kateqoriyalar
90 | Error: | XƏTA:
91 | Templates | Şablonlar
92 | My account | Mənim hesabım
93 | Average rating | Ortalama rəy
94 | Background color | Arxa fon rəngi
95 | Header image | Başlıq təsviri
96 | Lost password | İtmiş Parol
97 | Add new | Yenisini əlavə et
98 | Select Page | Səhifə Seç
99 | Length | Uzunluq
100 | None | Heç biri
101 | Move to trash | Zibil qutusuna göndər
102 | m | BE
103 | g | G
104 | My account | Mənim hesabım
105 | Delete permanently | Birdəfəlik sil
106 | Add to menu | Menyuya əlavə et
107 | Education | Təhsil
108 | Salta | Salta
109 | Updating | Yenilənir
110 | Failed | Uğursuz
111 | Pending | Gözləyən
112 | %s hour | %s saat
113 | %s day | %s gün
114 | %s week | %s həftə
115 | %s month | %s ay
116 | %s year | %s il
117 | Sorry, you are not allowed to change the comment type. | Üzr istəyirik, sizin bu şərhə dəyişiklik etməyə icazəniz yoxdur.
118 | Move down | Aşağı daşı
119 | Move up | Yuxarı daşı
120 | %s page | %s Səhifə
121 | optional | İstəyə Bağlı
122 | Visit Dashboard | Başlanğıca get
123 | Recommended | Məsləhət bilinən
124 | Bangkok | Bankok
125 | Thumbnail width | Miniatür təsvirin genişliyi
126 | Status: | Status:
127 | Move &#8220;%s&#8221; to the Trash | &#8220;%s&#8221; maddəsini zibil qutusuna göndər
128 | Dar es Salaam | Dar əs Salaam
129 | Update now | İndi Yenilə
130 | Plugin | Qoşma
131 | Position | Mövqe
132 | Sort by: | Sırala:
133 | Update Available | Yenilənmə Mövcuddur
134 | Activate | Aktivasiya
135 | Luanda | Luanda
136 | Add New | Yenisini əlavə et
137 | Images | Təsvir
138 | Published | Dərc edilmiş
139 | File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini or by post_max_size being defined as smaller than upload_max_filesize in php.ini. | Fayl boşdur. Lütfən daha zəngin bir şeylər yükləyin. Bu xəta php.ini faylında yükləmələrin əngəllənmiş olmasından ya da post_max_size dəyərinin upload_max_filesize dəyərindən kiçik olması üzündən də ola bilər.
140 | Filter by category | Kateqoriyaya görə filtr
141 | Custom Link | Xüsusi Bağlantı
142 | Export | İxrac
143 | Import | İdxal
144 | La Paz | La Pass
145 | Image url | Təsvir URL-i
146 | Deleted | Silinmiş
147 | Choose from the most used tags | Ən çox istifadə edilən etiketlər arasından seç
148 | Add or remove tags | Etiket əlavə et ya da sil
149 | Separate tags with commas | Etiketləri vergül ilə ayırın
150 | Popular tags | Populyar etiketlər
151 | New tag name | Yeni etiket adı
152 | Add new tag | Yeni etiket əlavə et
153 | Update tag | Etiketi yenilə
154 | Edit tag | Etiketi redaktə et
155 | All tags | Bütün etiketlər
156 | Search tags | Etiketləri axtar
157 | Tag | Etiket
158 | New category name | Yeni kateqoriya adı
159 | Add new category | Yeni kateqoriya əlavə et
160 | Update category | Kateqoriyanı yenilə
161 | Edit category | Kateqoriyanı redaktə et
162 | Parent category: | Valideyin kateqoriya:
163 | Parent category | Valideyin kateqoriya
164 | All categories | Bütün Kateqoriyalar
165 | Search categories | Kateqoriyaları axtar
166 | Category | Kateqoriya
167 | Error: | XƏTA:
168 | Site URL. | Sayt URL.
169 | %1$s (%2$s) | %1$s (%2$s)
170 | Source | Mənbə
171 | Info | بیلگی
