1 | Count | मोजा
2 | Facebook | फेसबुक
3 | Site address (URL) | साइट अॅड्रेस (URL)
4 | WordPress address (URL) | वर्डप्रेस अॅड्रेस (URL)
5 | Failed | अयशस्वी
6 | Pending | प्रलंबित
7 | %s hour | %s तास
8 | %s day | %s दिवस
9 | %s week | %s आठवडा
10 | %s month | %s महिना
11 | %s year | %s वर्ष
12 | Sorry, you are not allowed to change the comment type. | क्षमस्व, तुम्हाला टिप्पणीचा प्रकार बदलण्याची परवानगी नाही.
13 | Avatar URL with image size of %d pixels. | अवतार युआरएल इमेज साइज %d पिक्सेल.
14 | Move up | वर सरकवा
15 | Move down | खाली सरकवा
16 | %s page | %s पेज 
17 | User email | वापरकर्ता ईमेल
18 | optional | पर्यायी
19 | Visit Dashboard | डॅशबोर्ड ला भेट द्या
20 | Recommended | शिफारस केलेले
21 | Bangkok | बँगकॉक
22 | Thumbnail width | थम्बनेलची रुंदी
23 | Status: | स्थिती:
24 | Completed | पूर्ण झाले
25 | Move &#8220;%s&#8221; to the Trash | &#8220;%s&#8221; कचऱ्यात टाका 
26 | Dar es Salaam | दार एस सलाम
27 | Choose from the most used tags | सर्वात जास्त वापरले टॅग मधून निवडा
28 | Add or remove tags | टॅग्स जोडा किंवा कमी करा.
29 | Separate tags with commas | स्वल्पविरामाने  टॅग्स विभक्त करा
30 | All categories | समग्र विभाग
31 | The comment has already been trashed. | टिप्पणी आधीपासूनच काढून टाकलेली आहे.
32 | Limit result set to specific IDs. | विशिष्ट आयडीसाठी रिझल्टची मर्यादा.
33 | %1$s (%2$s) | %1$s (%2$s)
34 | %1$s at %2$s | %1$s येथे %2$s
35 | Ensure result set excludes specific IDs. | खात्री करा कि निकाल यादीतून विशिष्ट आयडीज वगळले आहेत.
36 | Username isn't editable. | वापरकर्तानाव संपादनक्षम नाही.
37 | Unique identifier for the object. | ऑब्जेक्ट अद्वितीय अभिज्ञापक
38 | Whether to bypass trash and force deletion. | कचरा स्थलांतर व नष्ट सक्ती का.
39 | Items | आयटमस्
40 | Limit result set to all items except those of a particular parent ID. | निकाल-सेट ला विशिष्ट प्रमुख आयडी वगळून इतर सर्व 'आयटम्स' पर्यंत मर्यादित करा.
41 | Limit result set to those of particular parent IDs. | निकाल-सेट ला विशिष्ट प्रमुख (पेरेन्ट) आयडीज् पर्यंत मर्यादित करा.
42 | Sort collection by object attribute. | ऑब्जेकट गुणधर्म करून संग्रह लावा.
43 | Order sort attribute ascending or descending. | क्रमवारी लावा चढत्या किंवा उतरत्या गुणधर्म.
44 | Offset the result set by a specific number of items. | परिणाम आयटम एक विशिष्ट क्रमांक द्वारे ऑफसेट.
45 | Limit result set to specific ids. | विशिष्ट आयडीसाठी रिझल्टची मर्यादा.
46 | Invalid post ID. | चुकीचा पोस्ट आयडी
47 | Loading&hellip; | लोड करीत आहे&hellip;
48 | Clear | स्पष्ट
49 | First page | पहिले पान
50 | Order | ऑर्डर
51 | Submit | सबमिट
52 | Leave a Reply to %s | %s साठी प्रतिक्रिया लिहा
53 | Search | शोधा
54 | Search for: | शोध घ्या यांचा:
55 | Email: | ईमेल:
56 | Note: | टीप:
57 | New password | नवीन पासवर्ड
58 | Register | नोंदणी
59 | Confirm new password | नवीन पासवर्डची खात्री करा
60 | Email address | ई-मेल अॅड्रेस
61 | Lost your password? | पासवर्ड विसरलात?
62 | Remember me | माझी आठवण ठेवा
63 | Username or email | वापरकर्त्याचे नाव अथवा ईमेल:
64 | Username: %s | वापरकर्ता चे नाव %s
65 | Username or email address | वापरकर्त्याचे नाव किंवा ई-मेल अॅड्रेस
66 | Approve | मंजूर
67 | Order | ऑर्डर
68 | Random | अविशिष्ट
69 | Show hierarchy | अनुक्रम दाखवा
70 | Filter | गाळणे
71 | OR | किंवा
72 | Active | सक्रिय
73 | Select | निवडा
74 | Password reset is not allowed for this user | ह्या यूजर ला पासवर्ड बदलण्याची परवानगी नाहीय
75 | Log in | लॉग ईन
76 | Enable | सक्षम
77 | Advanced options | प्रगत पर्याय
78 | Reset password | पासवर्ड रीसेट करा
79 | Subject | विषय
80 | Failed | अयशस्वी
81 | Completed | पूर्ण झाले
82 | Edit %s | संपादित करा %s
83 | Tags | टॅगस्
84 | Categories | कॅटेगरी
85 | Error: | चूक:
86 | Email Address | ई-मेल अॅड्रेस
87 | Author: %s | लेखकः  %s
88 | Dismiss this notice. | ही सूचना घालवा.
89 | No route was found matching the URL and request method | यूआरएल आणि विनंती पद्धतीला मिळताजुळता रूट आढळला नाही
90 | The handler for the route is invalid | रूटसाठी हँडलर अवैध आहे
91 | Custom: | सानुकूल:
92 | Save changes | बदल जतन करा
93 | Theme | थीम
94 | Error: %s | त्रुटी: %s
95 | Language | भाषा
96 | Custom | सानुकूल
97 | ID | आयडी
98 | Average rating | सरासरी रेटिंग
99 | Background color | पार्श्वभूमीचा रंग
100 | Header image | हेडर इमेज
101 | Lost password | हरवलेलं पासवर्ड
102 | Parent | पॅरेंट
103 | All | सर्व
104 | None | काहीही नाही
105 | Show | दाखवा 
106 | Year | वर्ष
107 | Choose file | फाईलची निवड करा
108 | Add new | नवीन लिंक
109 | Optional | पर्यायी
110 | Save | जतन करा
111 | Add to gallery | गॅलरीत जोडा
112 | Current page | सध्याचे पेज
113 | %s item | %s आयटम
114 | Menu order | मेनू क्रम
115 | None | काहीही नाही
116 | Never | कधीही नाही
117 | File URL | फाईल युआरएल
118 | Add | जोडा
119 | by %s | %s द्वारे
120 | Upload file and import | फाईल अपलोड आणि आयात करा
121 | Maximum size: %s | कमाल आकार: %s
122 | Before you can upload your import file, you will need to fix the following error: | आपण आपल्या आयात फाईल अपलोड करण्यापूर्वी, आपणांस खालील त्रुटी निश्चित करणे आवश्यक आहे:
123 | Remove image | इमेज काढा
124 | Thumbnail | थम्बनेल
125 | Allow | अनुमती द्या
126 | m | सो 
127 | View | पहा
128 | Delete permanently | कायमचे हटवा
129 | Status | स्थिती
130 | Rating | रेटिंग
131 | Add to menu | मेनू जोडा
132 | Delete | खोडून टाकणे
133 | Attributes | विशेषता
134 | Update | अपडेट
135 | Type | टाईप
136 | Slug | स्लग
137 | Featured | वैशिष्ट्यपूर्ण
138 | Puerto Rico | प्युर्तो रिको
139 | Guam | गुअॅम
140 | Madrid | मॅड्रीड
141 | Screenshots | स्क्रीनशॉटस्
142 | Updating | अद्यतनित करीत आहे
143 | Count | मोजा
144 | Site address (URL) | साइट अॅड्रेस (URL)
145 | WordPress address (URL) | वर्डप्रेस अॅड्रेस (URL)
146 | Facebook | फेसबुक
147 | Failed | अयशस्वी
148 | Pending | प्रलंबित
149 | %s hour | %s तास
150 | %s day | %s दिवस
151 | %s week | %s आठवडा
152 | %s month | %s महिना
153 | %s year | %s वर्ष
154 | Avatar URL with image size of %d pixels. | अवतार युआरएल इमेज साइज %d पिक्सेल.
155 | Sorry, you are not allowed to change the comment type. | क्षमस्व, तुम्हाला टिप्पणीचा प्रकार बदलण्याची परवानगी नाही.
156 | Move down | खाली सरकवा
157 | Move up | वर सरकवा
158 | %s page | %s पेज 
159 | User email | वापरकर्ता ईमेल
160 | optional | पर्यायी
161 | Visit Dashboard | डॅशबोर्ड ला भेट द्या
162 | Recommended | शिफारस केलेले
163 | Bangkok | बँगकॉक
164 | Thumbnail width | थम्बनेलची रुंदी
165 | Status: | स्थिती:
166 | Completed | पूर्ण झाले
167 | Move &#8220;%s&#8221; to the Trash | &#8220;%s&#8221; कचऱ्यात टाका 
168 | Dar es Salaam | दार एस सलाम
169 | Choose from the most used tags | सर्वात जास्त वापरले टॅग मधून निवडा
170 | Add or remove tags | टॅग्स जोडा किंवा कमी करा.
171 | Separate tags with commas | स्वल्पविरामाने  टॅग्स विभक्त करा
172 | All categories | समग्र विभाग
173 | Error: | चूक:
174 | The comment has already been trashed. | टिप्पणी आधीपासूनच काढून टाकलेली आहे.
175 | %1$s (%2$s) | %1$s (%2$s)
176 | %1$s at %2$s | %1$s येथे %2$s
177 | Limit result set to specific IDs. | विशिष्ट आयडीसाठी रिझल्टची मर्यादा.
178 | Ensure result set excludes specific IDs. | खात्री करा कि निकाल यादीतून विशिष्ट आयडीज वगळले आहेत.
179 | Username isn't editable. | वापरकर्तानाव संपादनक्षम नाही.
180 | Unique identifier for the object. | ऑब्जेक्ट अद्वितीय अभिज्ञापक
181 | Whether to bypass trash and force deletion. | कचरा स्थलांतर व नष्ट सक्ती का.
182 | Items | आयटमस्
183 | Limit result set to all items except those of a particular parent ID. | निकाल-सेट ला विशिष्ट प्रमुख आयडी वगळून इतर सर्व 'आयटम्स' पर्यंत मर्यादित करा.
184 | Limit result set to those of particular parent IDs. | निकाल-सेट ला विशिष्ट प्रमुख (पेरेन्ट) आयडीज् पर्यंत मर्यादित करा.
185 | Sort collection by object attribute. | ऑब्जेकट गुणधर्म करून संग्रह लावा.
186 | Order sort attribute ascending or descending. | क्रमवारी लावा चढत्या किंवा उतरत्या गुणधर्म.
187 | Offset the result set by a specific number of items. | परिणाम आयटम एक विशिष्ट क्रमांक द्वारे ऑफसेट.
188 | Limit result set to specific ids. | विशिष्ट आयडीसाठी रिझल्टची मर्यादा.
189 | Invalid post ID. | चुकीचा पोस्ट आयडी
190 | Clear | स्पष्ट
191 | First page | पहिले पान
192 | Loading&hellip; | लोड करीत आहे&hellip;
193 | Order | ऑर्डर
194 | Submit | सबमिट
195 | Leave a Reply to %s | %s साठी प्रतिक्रिया लिहा
196 | Search | शोधा
197 | Search for: | शोध घ्या यांचा:
198 | Email: | ईमेल:
199 | Note: | टीप:
200 | New password | नवीन पासवर्ड
201 | Register | नोंदणी
202 | Confirm new password | नवीन पासवर्डची खात्री करा
203 | Email address | ई-मेल अॅड्रेस
204 | Lost your password? | पासवर्ड विसरलात?
205 | Remember me | माझी आठवण ठेवा
206 | Username or email | वापरकर्त्याचे नाव अथवा ईमेल:
207 | Username: %s | वापरकर्ता चे नाव %s
208 | Username or email address | वापरकर्त्याचे नाव किंवा ई-मेल अॅड्रेस
209 | Approve | मंजूर
210 | Order | ऑर्डर
211 | Random | अविशिष्ट
212 | Show hierarchy | अनुक्रम दाखवा
213 | Filter | गाळणे
214 | OR | किंवा
215 | Active | सक्रिय
216 | Select | निवडा
217 | Password reset is not allowed for this user | ह्या यूजर ला पासवर्ड बदलण्याची परवानगी नाहीय
218 | Log in | लॉग ईन
219 | Enable | सक्षम
220 | Advanced options | प्रगत पर्याय
221 | Reset password | पासवर्ड रीसेट करा
222 | Subject | विषय
223 | Failed | अयशस्वी
224 | Completed | पूर्ण झाले
225 | Edit %s | संपादित करा %s
226 | Tags | टॅगस्
227 | Categories | कॅटेगरी
228 | Email Address | ई-मेल अॅड्रेस
229 | Author: %s | लेखकः  %s
230 | Dismiss this notice. | ही सूचना घालवा.
231 | No route was found matching the URL and request method | यूआरएल आणि विनंती पद्धतीला मिळताजुळता रूट आढळला नाही
232 | The handler for the route is invalid | रूटसाठी हँडलर अवैध आहे
233 | Custom: | सानुकूल:
234 | Save changes | बदल जतन करा
235 | Theme | थीम
236 | Error: %s | त्रुटी: %s
237 | Language | भाषा
238 | Custom | सानुकूल
239 | ID | आयडी
240 | Average rating | सरासरी रेटिंग
241 | Background color | पार्श्वभूमीचा रंग
242 | Header image | हेडर इमेज
243 | Lost password | हरवलेलं पासवर्ड
244 | Parent | पॅरेंट
245 | All | सर्व
246 | None | काहीही नाही
247 | Show | दाखवा 
248 | Year | वर्ष
249 | Choose file | फाईलची निवड करा
250 | Add new | नवीन लिंक
251 | Optional | पर्यायी
252 | Save | जतन करा
253 | Add to gallery | गॅलरीत जोडा
254 | Current page | सध्याचे पेज
255 | %s item | %s आयटम
256 | Menu order | मेनू क्रम
257 | None | काहीही नाही
258 | Never | कधीही नाही
259 | File URL | फाईल युआरएल
260 | Add | जोडा
261 | by %s | %s द्वारे
262 | Upload file and import | फाईल अपलोड आणि आयात करा
263 | Maximum size: %s | कमाल आकार: %s
264 | Before you can upload your import file, you will need to fix the following error: | आपण आपल्या आयात फाईल अपलोड करण्यापूर्वी, आपणांस खालील त्रुटी निश्चित करणे आवश्यक आहे:
265 | Remove image | इमेज काढा
266 | Thumbnail | थम्बनेल
267 | Allow | अनुमती द्या
268 | m | सो 
269 | View | पहा
270 | Delete permanently | कायमचे हटवा
271 | Status | स्थिती
272 | Rating | रेटिंग
273 | Add to menu | मेनू जोडा
