1 | Disable | अक्षम
2 | %s and %s | %s आणि %s
3 | hours | तास
4 | Add image | इमेज जोडा
5 | Network Settings | नेटवर्क सेटिंग्स
6 | Error: %s | त्रुटी: %s
7 | Success: %s | यशस्वीरीत्या: %s
8 | deleted | हटविले
9 | Page | पृष्ठ
10 | Tagline | टॅगलाईन
11 | Caption | शीर्षक
12 | User description | वापरकर्ता वर्णन
13 | ID | आयडी
14 | Category | कॅटेगरी
15 | Tag | टॅग
16 | Excerpt | उतारा
17 | Site title | साईटचे शिर्षक
18 | Date | दिनांक
19 | Plugin:  | प्लॅगिन:
20 | On | on
21 | Off | बंद 
22 | Media | मीडिया
23 | Search engine visibility | शोध इंजिन दृश्यमानता
24 | Go back | मागे जा
25 | Save changes | बदल जतन करा
26 | Save | जतन करा
27 | ACTIVE | सक्रिय
28 | Slug | स्लग
29 | Feedback | अभिप्राय
30 | ok | ठीक
31 | Choose image | प्रतिमा निवडा
32 | Name | नाव
33 | %1$s by %2$s | %1$s %2$s कडून 
34 | (no title) | (शीर्षक नाही)
35 | Features | वैशिष्ट्ये
36 | No | नाही
37 | Yes | होय
38 | Success! | यशस्वी!
39 | Posts list | पोस्ट यादी
40 | Posts list navigation | पोस्ट यादी नॅविगेशन 
41 | Filter posts list | फिल्टर पोस्ट यादी
42 | Installed | स्थापित
43 | Edit &#8220;%s&#8221; | एडीट करा &#8220;%s&#8221;
44 | Search results | शोध परिणाम
45 | No results found. | परिणाम आढळले नाहीत.
46 | Dashboard | डॅशबोर्ड
47 | Remove | काढा
48 | Bold | बोल्ड
49 | Summary | सारांश
50 | Home | घर
51 | Page not found | पृष्ठ सापडले नाही
52 | Import | आयात
53 | Blog | ब्लॉग
54 | Credits | क्रेडिट
55 | Description | वर्णन
56 | Image URL | इमेज चा यू.आर.एल.
57 | spam | स्पॅम
58 | mature | पूर्णपणे विकसित
59 | archived | संग्रहित
60 | public | सार्वजनिक
61 | Search pages | पेजेस शोधा
62 | Title | शीर्षक
63 | Hide | लपवा
64 | Homepage | मुख्यपृष्ठ
65 | RSS | आरएसएस
66 | or | किंवा
67 | Profile | प्रोफाईल
68 | Search | शोधा
69 | URL | URL
70 | Deactivate %s | %s निष्क्रिय करा
71 | Pinterest | पिन्टरेस्ट
72 | Previous | मागील
73 | Next | पुढे
74 | Twitter | ट्विटर
75 | Facebook | फेसबुक
76 | OK | ठीक
77 | (no parent) | (पालक नाही)
78 | None | काहीही नाही
79 | Action | क्रिया
80 | View | पहा
81 | View &#8220;%s&#8221; | पहा &#8220;%s&#8221;
82 | Preview &#8220;%s&#8221; | पूर्वावलोकन &#8220;%s&#8221;
83 | Filter | गाळणे
84 | FAQ | नेहमी विचारले जाणारे प्रश्न
85 | Settings | सेटिंग्स
86 | Posts | टिप्पणी
87 | For more information: | अधिक माहितीसाठी:
88 | General | सामान्य
89 | Tools | टूल्स
90 | Advanced | प्रगत
91 | Social | सोशल 
92 | Just another WordPress site | अजून एक वर्डप्रेस साईट
93 | %s and %s | %s आणि %s
94 | hours | तास
95 | Add image | इमेज जोडा
96 | Network Settings | नेटवर्क सेटिंग्स
97 | Error: %s | त्रुटी: %s
98 | Success: %s | यशस्वीरीत्या: %s
99 | deleted | हटविले
100 | Tagline | टॅगलाईन
101 | Page | पृष्ठ
102 | Caption | शीर्षक
103 | User description | वापरकर्ता वर्णन
104 | ID | आयडी
105 | Category | कॅटेगरी
106 | Tag | टॅग
107 | Excerpt | उतारा
108 | Site title | साईटचे शिर्षक
109 | Date | दिनांक
110 | Plugin:  | प्लॅगिन:
111 | On | on
112 | Off | बंद 
113 | Media | मीडिया
114 | Search engine visibility | शोध इंजिन दृश्यमानता
115 | Go back | मागे जा
116 | Save changes | बदल जतन करा
117 | Save | जतन करा
118 | ACTIVE | सक्रिय
119 | Slug | स्लग
120 | Feedback | अभिप्राय
121 | ok | ठीक
122 | Choose image | प्रतिमा निवडा
123 | Name | नाव
124 | %1$s by %2$s | %1$s %2$s कडून 
125 | (no title) | (शीर्षक नाही)
126 | Features | वैशिष्ट्ये
127 | No | नाही
128 | Yes | होय
129 | Success! | यशस्वी!
130 | Posts list | पोस्ट यादी
131 | Posts list navigation | पोस्ट यादी नॅविगेशन 
132 | Filter posts list | फिल्टर पोस्ट यादी
133 | Installed | स्थापित
134 | Edit &#8220;%s&#8221; | एडीट करा &#8220;%s&#8221;
135 | Search results | शोध परिणाम
136 | No results found. | परिणाम आढळले नाहीत.
137 | Dashboard | डॅशबोर्ड
138 | Remove | काढा
139 | Bold | बोल्ड
140 | Summary | सारांश
141 | Home | घर
142 | Page not found | पृष्ठ सापडले नाही
143 | Import | आयात
144 | Blog | ब्लॉग
145 | Credits | क्रेडिट
146 | Description | वर्णन
147 | Image URL | इमेज चा यू.आर.एल.
148 | spam | स्पॅम
149 | mature | पूर्णपणे विकसित
150 | archived | संग्रहित
151 | public | सार्वजनिक
152 | Search pages | पेजेस शोधा
153 | Title | शीर्षक
154 | Hide | लपवा
155 | Homepage | मुख्यपृष्ठ
156 | RSS | आरएसएस
157 | or | किंवा
158 | Profile | प्रोफाईल
159 | Search | शोधा
160 | URL | URL
