1 | Hours | तास
2 | Save changes | बदल जतन करा
3 | Restore | रिस्टोर
4 | Image sizes | प्रतिमा आकार
5 | Select all | सर्व निवडा
6 | Close | बंद
7 | Custom | सानुकूल
8 | Images | प्रतिमा
9 | Menu | मेनू
10 | Help | मदत
11 | Remove | काढा
12 | Update | अपडेट
13 | Value | मूल्य
14 | Name | नाव
15 | Comment | टिपणी
16 | Author | लेखक
17 | Date | दिनांक
18 | Title | शीर्षक
19 | ID | आयडी
20 | go back | मागे जा
21 | Cancel | रद्द करा
22 | Dismiss | घालवा
23 | No | नाही
24 | Yes | होय
25 | Installed | स्थापित
26 | Comments | टिप्पण्या
27 | Active | सक्रिय
28 | Error: | चूक:
29 | Status | स्थिती
30 | Twitter | ट्विटर
31 | News | बातम्या
32 | Home | घर
33 | Type | टाईप
34 | Enable | सक्षम
35 | Disable | अक्षम
36 | General settings | सामान्य सेटिंग्ज
37 | Warning: | चेतावणी:
38 | Actions | क्रिया
39 | MB | एमबी
40 | GB | जीबी
41 | Table | तक्ता
42 | Settings | सेटिंग्स
43 | Settings | सेटिंग्स
44 | Translations | अनुवाद
45 | Hours | तास
46 | Save changes | बदल जतन करा
47 | Restore | रिस्टोर
48 | Image sizes | प्रतिमा आकार
49 | Select all | सर्व निवडा
50 | Close | बंद
51 | Custom | सानुकूल
52 | Images | प्रतिमा
53 | Menu | मेनू
54 | Help | मदत
55 | Remove | काढा
56 | Update | अपडेट
57 | Value | मूल्य
58 | Name | नाव
59 | Comment | टिपणी
60 | Author | लेखक
61 | Date | दिनांक
62 | Title | शीर्षक
63 | ID | आयडी
64 | go back | मागे जा
65 | Cancel | रद्द करा
66 | No | नाही
67 | Yes | होय
68 | Installed | स्थापित
69 | Active | सक्रिय
70 | Dismiss | घालवा
71 | Comments | टिप्पण्या
72 | Error: | चूक:
73 | Status | स्थिती
74 | Twitter | ट्विटर
75 | News | बातम्या
76 | Home | घर
77 | Type | टाईप
78 | Enable | सक्षम
79 | Disable | अक्षम
80 | General settings | सामान्य सेटिंग्ज
81 | Warning: | चेतावणी:
82 | Actions | क्रिया
83 | MB | एमबी
84 | GB | जीबी
85 | Table | तक्ता
86 | Settings | सेटिंग्स
87 | Settings | सेटिंग्स
88 | Translations | अनुवाद
