1 | Image Sizes | प्रतिमा आकार
2 | Active | सक्रिय
3 | Custom | सानुकूल
4 | All | सर्व
5 | Tools | टूल्स
6 | Log In | लॉग ईन
7 | Header | हेडर
8 | Footer | फुटर
9 | Tags | टॅगस्
10 | Categories | कॅटेगरी
11 | Archives | संग्रहण
12 | Posts | टिप्पणी
13 | Pages | पृष्ठ
14 | Blog | ब्लॉग
15 | Type | टाईप
16 | Name | नाव
17 | None | काहीही नाही
18 | Post Thumbnail | पोस्ट थम्बनेल
19 | Widgets | विजेटस 
20 | Content | मजकूर
21 | Delete | खोडून टाकणे
22 | Next | पुढे
23 | Membership | सदस्यत्व
24 | Privacy | गोपनीयता
25 | Plugins | प्लगिन्स
26 | Translations | अनुवाद
27 | Deactivate | निष्क्रिय
28 | View all | सर्व पहा
29 | Cancel | रद्द करा
30 | Restore | रिस्टोर
31 | Documentation | डोक्युमेंटशन
32 | Close | बंद
33 | Metadata | मेटाडेटा
34 | DASHBOARD | डॅशबोर्ड
35 | GET STARTED | सुरु करूया
36 | DISMISS | घालवा
37 | Max height | कमाल उंची
38 | Max width | कमाल रुंदी
39 | UPLOAD IMAGES | फोटो अपलोड करा
40 | CANCEL | रद्द करा
41 | Media Library | मीडिया लायब्ररी
42 | Dismiss | घालवा
43 | Activate | सक्रिय करा
44 | Image size | इमेज आकार
45 | Save changes | बदल जतन करा
46 | Settings | सेटिंग्स
47 | All Done! | सर्वकाही पूर्ण झाले!
48 | Privacy | गोपनीयता
49 | Image Sizes | प्रतिमा आकार
50 | Active | सक्रिय
51 | Custom | सानुकूल
52 | All | सर्व
53 | Tools | टूल्स
54 | Log In | लॉग ईन
55 | Header | हेडर
56 | Footer | फुटर
57 | Tags | टॅगस्
58 | Categories | कॅटेगरी
59 | Archives | संग्रहण
60 | Posts | टिप्पणी
61 | Pages | पृष्ठ
62 | Blog | ब्लॉग
63 | Type | टाईप
64 | Name | नाव
65 | None | काहीही नाही
66 | Post Thumbnail | पोस्ट थम्बनेल
67 | Widgets | विजेटस 
68 | Content | मजकूर
69 | Delete | खोडून टाकणे
70 | Next | पुढे
71 | Membership | सदस्यत्व
72 | Privacy | गोपनीयता
73 | Plugins | प्लगिन्स
74 | Translations | अनुवाद
75 | Deactivate | निष्क्रिय
76 | View all | सर्व पहा
77 | Cancel | रद्द करा
78 | Restore | रिस्टोर
79 | Documentation | डोक्युमेंटशन
80 | Close | बंद
81 | Metadata | मेटाडेटा
82 | DASHBOARD | डॅशबोर्ड
83 | GET STARTED | सुरु करूया
84 | DISMISS | घालवा
85 | Max height | कमाल उंची
86 | Max width | कमाल रुंदी
87 | Media Library | मीडिया लायब्ररी
88 | UPLOAD IMAGES | फोटो अपलोड करा
89 | CANCEL | रद्द करा
90 | Dismiss | घालवा
91 | Activate | सक्रिय करा
92 | Image size | इमेज आकार
93 | Save changes | बदल जतन करा
94 | Settings | सेटिंग्स
95 | All Done! | सर्वकाही पूर्ण झाले!
96 | Privacy | गोपनीयता
