1 | Value | मूल्य
2 | &laquo; | &laquo;
3 | &raquo; | &raquo;
4 | Rating | रेटिंग
5 | Site Title | साईटचे शिर्षक
6 | Site Url | साइट युआरअल
7 | Title | शीर्षक
8 | Link | लिंक
9 | Unknown | अज्ञात
10 | ID | आयडी
11 | Format | स्वरूप
12 | Year | वर्ष
13 | Month | महिना 
14 | Time | वेळ
15 | Pages: | पृष्ठे:
16 | Privacy | गोपनीयता
17 | External Libraries | बाहेरील लायब्ररीज
18 | Project Leaders | प्रकल्पाचे नेते
19 | Changelog | चेंजलॉग
20 | Credits | क्रेडिट
21 | Version %s | आवृत्ती %s
22 | Tags | टॅगस्
23 | Categories | कॅटेगरी
24 | Status: | स्थिती:
25 | Version: | आवृत्ती:
26 | Documentation | डोक्युमेंटशन
27 | Select Category | कॅटेगरी निवडा
28 | Post Title | पोस्टचे शीर्षक
29 | Count | मोजा
30 | Select | निवडा
31 | Toggle panel: %s | %s टॉगल पॅनल आहे
32 | Unknown | अज्ञात
33 | Unknown | अज्ञात
34 | Unknown | अज्ञात
35 | Unknown | अज्ञात
36 | Unknown | अज्ञात
37 | More Details | अधिक  माहिती 
38 | You do not have sufficient permissions to access this page. | या पृष्ठावर प्रवेश करण्यासाठी आपल्याकडे पुरेश्या परवानग्या नाहीत.
39 | Overview | आढावा
40 | Settings | सेटिंग्स
41 | , | , 
42 | Items | आयटमस्
43 | English | इंग्रजी
44 | Maintenance | मेन्टेनन्स
45 | General | सामान्य
46 | Remove | काढा
47 | Dashboard | डॅशबोर्ड
48 | About | विषयी
49 | None | काहीही नाही
50 | Disable | अक्षम
51 | Yes | होय
52 | Active | सक्रिय
53 | Enable | सक्षम
54 | Update | अपडेट
55 | Translations | अनुवाद
56 | Updates | अपडेटस्
57 | Installed | स्थापित
58 | Row | रो
59 | Export | निर्यात
60 | Today | आज
61 | Address | अॅड्रेस (Address)
62 | Website | वेबसाईट
63 | Date | दिनांक
64 | Page | पृष्ठ
65 | All | सर्व
66 | Hostname | होस्टनेम
67 | Summary | सारांश
68 | Overview | आढावा
69 | Value | मूल्य
70 | &raquo; | &raquo;
71 | &laquo; | &laquo;
72 | Rating | रेटिंग
73 | Site Title | साईटचे शिर्षक
74 | Site Url | साइट युआरअल
75 | Link | लिंक
76 | Title | शीर्षक
77 | Unknown | अज्ञात
78 | ID | आयडी
79 | Format | स्वरूप
80 | Year | वर्ष
81 | Month | महिना 
82 | Time | वेळ
83 | Pages: | पृष्ठे:
84 | Privacy | गोपनीयता
85 | External Libraries | बाहेरील लायब्ररीज
86 | Project Leaders | प्रकल्पाचे नेते
87 | Changelog | चेंजलॉग
88 | Credits | क्रेडिट
89 | Version %s | आवृत्ती %s
90 | Tags | टॅगस्
91 | Categories | कॅटेगरी
92 | Status: | स्थिती:
93 | Version: | आवृत्ती:
94 | Documentation | डोक्युमेंटशन
95 | Select Category | कॅटेगरी निवडा
96 | Post Title | पोस्टचे शीर्षक
97 | Count | मोजा
98 | Select | निवडा
99 | Toggle panel: %s | %s टॉगल पॅनल आहे
100 | Unknown | अज्ञात
101 | Unknown | अज्ञात
102 | Unknown | अज्ञात
103 | Unknown | अज्ञात
104 | Unknown | अज्ञात
105 | More Details | अधिक  माहिती 
106 | You do not have sufficient permissions to access this page. | या पृष्ठावर प्रवेश करण्यासाठी आपल्याकडे पुरेश्या परवानग्या नाहीत.
107 | Overview | आढावा
108 | Settings | सेटिंग्स
109 | , | , 
110 | Items | आयटमस्
111 | English | इंग्रजी
112 | Maintenance | मेन्टेनन्स
113 | General | सामान्य
114 | Remove | काढा
115 | Dashboard | डॅशबोर्ड
116 | About | विषयी
117 | None | काहीही नाही
118 | Disable | अक्षम
119 | Yes | होय
120 | Active | सक्रिय
121 | Enable | सक्षम
122 | Update | अपडेट
123 | Translations | अनुवाद
124 | Updates | अपडेटस्
125 | Installed | स्थापित
126 | Row | रो
127 | Export | निर्यात
128 | Today | आज
129 | Address | अॅड्रेस (Address)
130 | Website | वेबसाईट
131 | Date | दिनांक
132 | Page | पृष्ठ
133 | All | सर्व
134 | Hostname | होस्टनेम
135 | Summary | सारांश
136 | Overview | आढावा
