1 | Custom: | सानुकूल:
2 | An error has occurred, which probably means the feed is down. Try again later. | एक त्रुटी आली आहे, याचा अर्थ कदाचित पुरवठा डाऊन आहे. पुन्हा प्रयत्न करा.
3 | RSS Error: | आरएसएस मधे त्रुटी: 
4 | Settings | सेटिंग्स
5 | Title | शीर्षक
6 | Search Posts | पोस्ट शोधा
7 | Your email | आपला ईमेल
8 | DATE | दिनांक
9 | Public | सार्वजनिक
10 | Private | खाजगी
11 | Move | हलवा
12 | Cancel | रद्द करा
13 | Save | जतन करा
14 | Pinterest | पिन्टरेस्ट
15 | Right Sidebar | उजवा साइडबार
16 | Left Sidebar | डावा साईडबार
17 | Right sidebar | उजवा साइडबार
18 | Left sidebar | डावा साईडबार
19 | Delete | खोडून टाकणे
20 | Add images | प्रतिमा जोडा
21 | Add to gallery | गॅलरीत जोडा
22 | Value | मूल्य
23 | Upload | अपलोड
24 | Remove | काढा
25 | Save Changes | बदल जतन करा
26 | Type | टाईप
27 | Categories | कॅटेगरी
28 | Category | कॅटेगरी
29 | New Category Name | नवीन कॅटेगरी नाव
30 | Add New Category | नवीन कॅटेगरी जोडा
31 | Update Category | कॅटेगरी सुधारा
32 | Edit Category | श्रेणी संपादित करा
33 | Parent Category: | प्यारेन्ट कॅटेगरी:
34 | Parent Category | प्यारेन्ट कॅटेगरी
35 | Search Categories | कॅटेगरीज शोधा
36 | Category | कॅटेगरी
37 | Edit %s | संपादित करा %s
38 | email | ईमेल
39 | Twitter | ट्विटर
40 | Facebook | फेसबुक
41 | Background color | पार्श्वभूमीचा रंग
42 | Border | सीमा
43 | Text | मजकूर
44 | Custom CSS | फेरफार करण्यासाठीची सीएसएस (CSS)
45 | Styles | शैली
46 | Position | स्थान
47 | General Settings | सामान्य सेटिंग्ज
48 | Colors | रंग
49 | Documentation | डोक्युमेंटशन
50 | Translators | अनुवादक
51 | Custom: | सानुकूल:
52 | An error has occurred, which probably means the feed is down. Try again later. | एक त्रुटी आली आहे, याचा अर्थ कदाचित पुरवठा डाऊन आहे. पुन्हा प्रयत्न करा.
53 | RSS Error: | आरएसएस मधे त्रुटी: 
54 | Settings | सेटिंग्स
55 | Title | शीर्षक
56 | Search Posts | पोस्ट शोधा
57 | Your email | आपला ईमेल
58 | DATE | दिनांक
59 | Public | सार्वजनिक
60 | Private | खाजगी
61 | Move | हलवा
62 | Cancel | रद्द करा
63 | Save | जतन करा
64 | Pinterest | पिन्टरेस्ट
65 | Right Sidebar | उजवा साइडबार
66 | Left Sidebar | डावा साईडबार
67 | Right sidebar | उजवा साइडबार
68 | Left sidebar | डावा साईडबार
69 | Delete | खोडून टाकणे
70 | Add images | प्रतिमा जोडा
71 | Add to gallery | गॅलरीत जोडा
72 | Value | मूल्य
73 | Upload | अपलोड
74 | Remove | काढा
75 | Save Changes | बदल जतन करा
76 | Type | टाईप
77 | Categories | कॅटेगरी
78 | Category | कॅटेगरी
79 | New Category Name | नवीन कॅटेगरी नाव
80 | Add New Category | नवीन कॅटेगरी जोडा
81 | Update Category | कॅटेगरी सुधारा
82 | Edit Category | श्रेणी संपादित करा
83 | Parent Category: | प्यारेन्ट कॅटेगरी:
84 | Parent Category | प्यारेन्ट कॅटेगरी
85 | Search Categories | कॅटेगरीज शोधा
86 | Category | कॅटेगरी
87 | Edit %s | संपादित करा %s
88 | email | ईमेल
89 | Twitter | ट्विटर
90 | Facebook | फेसबुक
91 | Background color | पार्श्वभूमीचा रंग
92 | Border | सीमा
93 | Text | मजकूर
94 | Custom CSS | फेरफार करण्यासाठीची सीएसएस (CSS)
95 | Styles | शैली
96 | Position | स्थान
97 | General Settings | सामान्य सेटिंग्ज
98 | Colors | रंग
99 | Documentation | डोक्युमेंटशन
100 | Translators | अनुवादक
